dg1,dg2,order13,qbdrap4
-0.24410980671074578,-0.24410980671074578,-0.24410980671074578,-0.24410980671074603
-0.22458786624138305,-0.19266805767915537,-0.25038728033042296,-0.25469673458900904
-0.2190482370891256,-0.18955482955175845,-0.24719382717324317,-0.2449102626577465
-0.21449070191236347,-0.1859891648348183,-0.24431840124912052,-0.23554991619579901
-0.21798449777596657,-0.1837981277248795,-0.24168050208250288,-0.22878661688428167
-0.2121645996591921,-0.1828297896982557,-0.2392982671678021,-0.22468268515354436
-0.2153781520732105,-0.18215674035089494,-0.2371776388427026,-0.22203723551237153
-0.21548206403700707,-0.18177151870241487,-0.23530876869756853,-0.2202170215805023
-0.21093537392836356,-0.18148815299920404,-0.23367022039132396,-0.2189010424447506
-0.21420214253312897,-0.18139086922583839,-0.23223559380635045,-0.21791213745281113
-0.2141292708202131,-0.1812311581091249,-0.23097794808973846,-0.2171456395751507
