dg1,dg2,order13,qbdrap4
0.07820903304645578,0.07820903304645578,0.07820903304645578,0.07804101563764286
-1.410075615914183,-0.7175754162576996,-0.26795654234090105,-0.34911766272300887
-1.6242920204779598,-0.7125401592974674,-0.4488439779233588,-0.6463613784285788
-1.7407781248020062,-0.7097746339117653,-0.5707227594923959,-0.8673494775735049
-1.850399844421336,-0.7042701835736759,-0.6624290053415012,-1.0372599203993074
-1.9056316704071679,-0.7011194152894117,-0.7358479617331125,-1.1729918805729032
-1.9682724234302382,-0.6988026558652054,-0.7970229389314067,-1.285006033194111
-2.0188368215807397,-0.6975819299672076,-0.8494153405634645,-1.3792316788127499
-2.0468687922564284,-0.6967419708504009,-0.8951417557870515,-1.4602442953723687
-2.0876381607985683,-0.6962853565877564,-0.9357059153413552,-1.5310815256225052
-2.116829114643472,-0.6958497164864312,-0.9721516187746746,-1.593924396145316
