DG,Order_1,DG_limiter,QBDRAP
-0.8870701316761868,-0.8870701316761868,-1.4061913444219587,-0.9000839306748065
-2.5070623194055863,-1.2402641773571075,-1.9090999949065894,-1.365404526485185
-2.925684812048831,-1.413770630060899,-2.17744814020571,-1.6765119331468725
-3.120060109320757,-1.5314724855208182,-2.363086125044765,-1.9048497702961775
-3.2171857730925186,-1.620949798279575,-2.4964421154710768,-2.0853020882924156
-3.273931709471664,-1.6932381815815483,-2.6041477615905606,-2.233719480106163
-3.308611640897863,-1.7539146714355904,-2.6958368877841856,-2.3582133603500863
-3.3313964553096582,-1.8062015984400681,-2.7686202382291016,-2.46407868587777
-3.3471943312704986,-1.8521432765239836,-2.8310248624224443,-2.5551275600477377
-3.3583299841976757,-1.8931123955994327,-2.88488042748887,-2.63416400569428
-3.366651804297366,-1.9300698623386732,-2.9308013091047616,-2.703292117062817
