DG,Order_1,QBDRAP
-0.4772515408901547,-0.4772515408901547,-0.5295152820832006
-1.9760487492919987,-1.4315808831545807,-0.6316622838998411
-2.45817575511144,-1.8753998940714796,-0.8879528213576132
-2.7872940556653165,-2.167782635766286,-1.1134180909136229
-3.0536262428768195,-2.386199625339531,-1.2961014645186724
-3.254004591431014,-2.5606288707108136,-1.4486205077204442
-3.4458286864120455,-2.7058598561406364,-1.5795801888643053
-3.5834628718160806,-2.830285184847473,-1.6941514791833538
-3.7385337941981094,-2.9391304302391346,-1.795900730131632
-3.8367958064650582,-3.0358696995124994,-1.8873425010981306
-3.9700066158332916,-3.122931061366394,-1.9703145127420318
