DG,Order_1,QBDRAP
0.22184877393684616,0.22184877393684616,0.12759123975649977
-1.6812335711267898,-0.5862470920690575,-0.017758382579281858
-2.2832174887126997,-1.0057588617685709,-0.304914987283852
-2.6911226709078155,-1.2881616052460922,-0.5663837935960325
-2.999936616416264,-1.5009940699095834,-0.7865520391950189
-3.247496463335225,-1.6718758482042508,-0.9562194446270336
-3.452315098032146,-1.814618276899283,-1.0873393340114264
-3.624331912010608,-1.9372255827679146,-1.1927598508805672
-3.769009097552008,-2.044654504217564,-1.2807279350333622
-3.8893478437692535,-2.140229775527383,-1.3559556119823921
-3.986993520295011,-2.2263353872853062,-1.4214415495080321
