DG,Unif,QBDRAP
0.051133227762595816,0.051133227762595816,0.00403292764972361
-0.9111836920070593,-0.4593994198485235,-0.07972405397427972
-1.2267164231313383,-0.688207965082032,-0.2711554121390337
-1.4460255957934733,-0.8374142078369913,-0.45423053168456545
-1.61412310531463,-0.9482545482916573,-0.6105555964459505
-1.75165644607596,-1.036487290053328,-0.7359128862987463
-1.865577323627717,-1.109789003315359,-0.838724464586788
-1.9602914498553445,-1.1724884154233917,-0.9252024276872748
-2.048112319561654,-1.2272683581593598,-0.999400065398243
-2.115867935021729,-1.275906736355029,-1.0641873403383029
-2.1860718112633286,-1.3196426925375562,-1.121523429062672
