unnormalised,naive,normalised
-0.8790295963129625,-1.4215574432607085,-1.4215574432607083
-1.2032966905143092,-2.0073271735428375,-2.0403006967994535
-1.5164095655814127,-1.9318934219335564,-1.9311017904516163
-1.76895174392934,-2.1133088390003443,-2.114766166856209
-1.9716098339296533,-2.3067445406926357,-2.3098489606016153
-2.139551008778256,-2.4722478704623425,-2.476833372008433
-2.282415568514235,-2.613528485837576,-2.618848307366406
-2.4064417872032613,-2.7362573269231105,-2.7418279411433533
-2.5158501813568135,-2.844527329736043,-2.8501056230960233
-2.6136153740427934,-2.94127286894854,-2.9467373301460094
-2.7019027701620293,-3.0286373630828813,-3.0339286884837637
