unnormalised,naive,normalised
-0.7742482159952201,-1.7294967118225038,-1.729496711822519
-1.2843934173247171,-2.3616795103730364,-2.4155849169307837
-1.4433104103290808,-2.2026827320455653,-2.2021221525517047
-1.5525115269270844,-2.340714765738843,-2.341373308512049
-1.6559975121182005,-2.4323564997451026,-2.4328227928836066
-1.742152137301017,-2.507227658994542,-2.5075033219923966
-1.8147539473545542,-2.5737290688908296,-2.5738955617883224
-1.877240509299759,-2.6324821787970736,-2.63259050164787
-1.931988935514393,-2.684656943514327,-2.6847322123181208
-1.980652932769395,-2.731356068680906,-2.7314106345775198
-2.02441895780934,-2.7734809030326293,-2.7735217114036677
