unnormalised,naive,normalised
-0.43429448190320274,-1.2341002256761262,-1.2341002256761255
-0.736937967369533,-1.638046628809002,-1.6685893988455036
-0.9587407780944219,-1.5832738444431902,-1.5825655973795933
-1.101880307590427,-1.6981489289960239,-1.6991357627243375
-1.21057131969052,-1.7955981377594215,-1.7964916671690043
-1.2984588465002485,-1.877959999400168,-1.8786816984728694
-1.3721300359903839,-1.9489643357581647,-1.9495561376640185
-1.4354695042526568,-2.0110351530011057,-2.0115221492625404
-1.4909687837104046,-2.0660008764199254,-2.0664048732554368
-1.5403203985278775,-2.115226706663957,-2.1155651223357266
-1.584727564136191,-2.159739434127018,-2.1600257239701794
