DG,Order_1,DG_limiter,QBDRAP
-0.03598949753454418,-0.03598949753454418,-0.03598949753454418,-0.03432127246267882
-1.2090365935145677,-0.3718941850896789,-0.34389687783721357,-0.5157229343203494
-1.691796453558307,-0.5351030536854081,-0.33611068778741127,-0.8145339164031401
-1.9893340206765222,-0.6453630291548969,-0.33468230770817664,-1.0328919570863304
-2.205344120465923,-0.7292141355677312,-0.3353179455872223,-1.207940277861815
-2.371970074362962,-0.7971277054655149,-0.33430646818938997,-1.3547960647340622
-2.510407978616125,-0.8542957892933417,-0.33411302992021474,-1.4812121895816943
-2.6278025016262765,-0.9037291853459064,-0.3341877135334802,-1.5920225047302703
-2.728984257118774,-0.9473168211640237,-0.3344000554605801,-1.6905498181793497
-2.8192208296109955,-0.9863168387856363,-0.33466800667917673,-1.779180850161502
-2.8992947089418757,-1.0216305875969094,-0.3349293793675435,-1.8596789918527197
