DG,Order_1,DG_limiter,QBDRAP
-0.013479946529986873,-0.013479946529986873,-0.013479946529986873,-0.02057956415678664
-0.4597839733960222,-0.14659513680795117,-0.11564260315384295,-0.2266523759309704
-0.674770890968347,-0.2216779439491292,-0.1107918271409263,-0.3812892099445521
-0.8092318291526417,-0.2750294098718508,-0.11016259922524373,-0.4966461078228976
-0.9068647764603838,-0.3168957752092557,-0.1095408045907997,-0.5939997772762794
-0.9814686661984878,-0.35165413167927523,-0.10967207714213,-0.6786376503824252
-1.043547385612162,-0.3814142856027005,-0.10965173415711205,-0.7507089141273149
-1.0966083902092403,-0.4074226555645912,-0.10953891842040035,-0.8131598117717621
-1.1416658333398007,-0.4303549360559202,-0.10964466119741906,-0.8681723104766552
-1.1817726941133924,-0.4509245283101779,-0.1098735389634662,-0.9172636599404349
-1.2180276033384796,-0.4697708406518249,-0.10983894220667292,-0.9615397298022107
