DG,Order_1,DG_limiter,QBDRAP
-0.4304352478836327,-0.4304352478836327,-0.4304352478836327,-0.4304352478836327
-1.0254408993068143,-0.5647483889704816,-0.517432861079135,-0.6425206444818292
-1.3262905041337174,-0.6354951456416219,-0.5117323098579386,-0.7850922763015727
-1.510312309759851,-0.6850937786592217,-0.5103968432608524,-0.8952440868660851
-1.6418165188998588,-0.7236657535741573,-0.5096504058548464,-0.9847626257369769
-1.74389627178979,-0.7553763197783991,-0.5097001486723148,-1.0598927455313036
-1.8272204063767727,-0.782374013848371,-0.509437343731788,-1.1244675308222245
-1.8975649636551941,-0.8059212126807164,-0.5092741542829469,-1.181000673282893
-1.9584021345366718,-0.8268262015311064,-0.5094225313616333,-1.2312204029407312
-2.0119794939990436,-0.8456392783249778,-0.5095678852272957,-1.2763602513397405
-2.0598342839492174,-0.8627528065903638,-0.509484890919498,-1.317330869419383
