unnormalised,naive,normalised
-0.33212333046256853,-0.5295152820832323,-0.5295152820832323
-0.604710676183882,-0.6332589196791004,-0.6316622838995634
-0.8822013779480686,-0.8881286559386548,-0.8879528213561706
-1.1082173284597292,-1.1132333996148007,-1.1134180909102573
-1.2914270661492284,-1.2960072320373628,-1.2961014645126698
-1.4445642713434383,-1.4485891112220446,-1.4486205077110572
-1.576033022379536,-1.579571796363047,-1.5795801888507672
-1.6910000316719684,-1.6941501635040963,-1.6941514791648933
-1.7930585500627063,-1.7959009974689868,-1.7959007301074688
-1.8847468694412288,-1.887342923598799,-1.8873425010674827
-1.9679195977429265,-1.9703148546364695,-1.9703145127041148
