unnormalised,naive,normalised
-0.19964960637529608,-0.2969970766714334,-0.2969970766714334
-0.3784471430222529,-0.3820852798422148,-0.38075406215461083
-0.5703061218439227,-0.5723419431759392,-0.5721854204239837
-0.7533400713798718,-0.7550565587129598,-0.7552605430094327
-0.910571767577306,-0.9114643025825221,-0.9115856021712844
-1.0365801525818221,-1.0368978154889374,-1.036942938838479
-1.1396380564817552,-1.1397409110101597,-1.1397544850735704
-1.2261995773858305,-1.226229421654312,-1.2262324819107475
-1.3004226427634766,-1.300429735506903,-1.3004301839715064
-1.3652160746335562,-1.3652173803685874,-1.3652173864452026
-1.4225533151132497,-1.422553504794132,-1.422553473919525
