DG,Order_1,QBDRAP
-0.9942997596865536,-0.9942997596865536,-0.9606407014644658
-1.842417644880397,-1.4893869648213192,-1.0410777394587793
-3.039356253416055,-1.8958416519126358,-1.159269476767808
-4.483457260598889,-2.1779033579756826,-1.3113848802879522
-6.11842453502618,-2.3920056078365737,-1.4605234016006663
-7.909060214784871,-2.564188276596314,-1.5967889685024288
-9.832762223811446,-2.70807159234912,-1.719240226446912
-11.00576180545666,-2.8316032832494726,-1.8291725921371638
-11.00576873403376,-2.939807656241757,-1.928310822976805
-11.005738960781715,-3.0360582667818257,-2.018268574083861
-11.005860650667374,-3.122728160845564,-2.100423394383706
