DG,Order_1,QBDRAP
-0.3010299956639816,-0.3010299956639816,-0.24568414470194563
-1.4198643751015545,-0.8011635887199111,-0.3917328372026508
-3.4723658139655766,-1.2044978542340934,-0.6220697274738292
-6.117880406499402,-1.4856832352257847,-0.9242673126298719
-9.199175157786845,-1.699456909355575,-1.223105573751197
-12.626040128754576,-1.871433027937207,-1.4965748272306958
-16.33955977702816,-2.0151345333713566,-1.7422800647344292
-19.5775943089425,-2.1385313130710064,-1.962837516569529
-19.563209162389615,-2.246723633868726,-2.1617353173389757
-19.469770576905308,-2.3429230806184225,-2.342212380182501
-19.386351826713447,-2.4295839683205203,-2.5070281648356496
