DG,Unif,QBDRAP
-0.7981798683513821,-0.7981798683513821,-0.677425340973836
-1.5975284690037517,-1.1573583469907442,-0.8260354124479691
-2.7871154796382513,-1.5382959506415244,-0.9163418992471907
-4.22943289671097,-1.8131467933080092,-1.0731035811313128
-5.863852389030045,-2.0241165313603524,-1.2305741914380905
-7.654111954093289,-2.1948047959797274,-1.3742025142852816
-9.562697093903974,-2.3376740416934454,-1.502152690612349
-10.841701488941863,-2.4606853701807516,-1.6160133104719718
-10.862721169216048,-2.568381940165934,-1.717965116394872
-10.863487213574047,-2.66440546807676,-1.809993837641048
-10.864442845656738,-2.7507486972830493,-1.8937275726216656
