DG,Unif,QBDRAP
-0.6021468502237639,-0.6021468502237639,-0.7123480806302755
-4.000043431628272,-1.5563893944118607,-0.7605511256314289
-4.000043431615252,-2.0000868588958016,-1.0034909213253722
-4.000043431624413,-2.292342965006262,-1.1947462017832466
-4.000043431612358,-2.5106322166006825,-1.3345866071325567
-4.000043431626825,-2.6849327417894586,-1.4445251546871414
-4.000043431637915,-2.8300340760866822,-1.5349260727338194
-4.0000434316229665,-2.9543297158490325,-1.611393195934578
-4.000043431615734,-3.063044727734296,-1.677472656771853
-4.000043431617662,-3.159654156386171,-1.7355400277509314
-4.000043431590177,-3.246585474445587,-1.7872562814128663
