DG,Unif,QBDRAP
-0.47712123300754505,-0.47712123300754505,-0.6982097003476865
-7.045882663155102,-1.43136374244687,-0.7640285331876272
-6.602272601013764,-1.8750610853283938,-1.1579918932576039
-6.3101802519923895,-2.1673173130360586,-1.4253759937272044
-6.092116896496472,-2.3856062518861947,-1.5993226696892755
-5.918100507866897,-2.559906603323995,-1.7296266783268355
-5.773339893028504,-2.7050079376212186,-1.8335759257576523
-5.6494403673918985,-2.8293035947677185,-1.9194949436986561
-5.541175787793372,-2.938019075764093,-1.9924535067505351
-5.445070479653792,-3.034628434913203,-2.055710255464555
-5.358695212331993,-3.1215598224753838,-2.11145683397118
