DG,Unif,QBDRAP
-0.36348259257107174,-0.36348259257107174,-0.3607218601192681
-6.230893445233745,-0.6646608365824467,-0.71596248721068
-10.799590079036559,-0.8406357222171592,-1.0058596310886925
-10.901075556873963,-0.9655142106061331,-1.237317876661023
-10.900218498365385,-1.0623901774304096,-1.4264937534450997
-10.90134239659518,-1.1415492683322697,-1.5851339095563972
-10.900845883447746,-1.2084803256652266,-1.7211399666794305
-10.900245071158404,-1.26646091761047,-1.8398588531172242
-10.901448326425351,-1.3176050223052875,-1.945010710708934
-10.901953652067641,-1.3633557141542623,-2.039269702612643
-10.899000972993287,-1.404742870342229,-2.1246110739635014
