unnormalised,naive,normalised
-0.2171472409516259,-0.2545390423593641,-0.2545390423593641
-0.2901901839948286,-0.2935334778747857,-0.293861663366331
-0.2908233615115908,-0.29018255973288304,-0.2903045110245634
-0.2922027676064669,-0.29182667756261893,-0.2916106681983361
-0.2935458169915989,-0.29326680294853547,-0.2930789877214567
-0.2934891769732091,-0.2932583822201503,-0.2931561228976712
-0.2938642741182685,-0.2936643105884676,-0.29361842285774004
-0.2938835975081709,-0.2937123330706946,-0.29369608566917316
-0.29389074985451574,-0.29374797943426517,-0.2937437332259784
-0.29389390760859957,-0.2937767516655836,-0.2937760026447552
-0.2938323111251163,-0.29373604980081675,-0.29373597481267083
