unnormalised,naive,normalised
-0.3870932647632575,-0.7123480806302755,-0.7123480806302755
-0.7158598317769442,-0.761849170557237,-0.7605511256314289
-0.9995023689967912,-1.0038255343541787,-1.0034909213253724
-1.191259287726865,-1.1942676018454168,-1.1947462017832482
-1.3323675650837177,-1.3341945482920479,-1.3345866071325578
-1.443226133824469,-1.4442474081577394,-1.4445251546871427
-1.534093878219657,-1.5347216800531587,-1.5349260727338179
-1.610825748221331,-1.611240359230448,-1.61139319593458
-1.6770693899546625,-1.6773563807828835,-1.6774726567718574
-1.735243775728119,-1.7354500442088396,-1.7355400277509287
-1.7870326233825462,-1.7871855184433167,-1.7872562814128663
