unnormalised,naive,normalised
-0.5246379761681513,-0.8901386880382559,-0.8901386880382559
-0.8246556265746302,-0.9246157564195914,-0.9235866855428266
-1.118630229259891,-1.160649244459078,-1.160336149084723
-1.355768035407244,-1.3846836368039384,-1.3851737889661377
-1.547154240364528,-1.5700571160096168,-1.5705539552921726
-1.7065558508123788,-1.725752650855384,-1.7261814565597235
-1.842740022100443,-1.8593917566948515,-1.859759062674837
-1.9613999590270716,-1.9761902103459836,-1.9765035370465722
-2.066403687182289,-2.0797675323834524,-2.0800356584668536
-2.16048638690857,-2.172718996245132,-2.1729498837603156
-2.2456492650589235,-2.2569609360391847,-2.2571612096650324
