unnormalised,naive,normalised
-0.5312227788357857,-0.6979058967764872,-0.6979058967764873
-0.9306211794665616,-0.7655150260875511,-0.7636854591416321
-1.2615078405743365,-1.1575614079252503,-1.1569996189843432
-1.4832096047165013,-1.4226732932239132,-1.4234439737287279
-1.637584418175433,-1.5958039999592875,-1.5963719800117084
-1.7560039528334324,-1.7252408895510478,-1.7255908732544563
-1.8515717718800238,-1.8281734494390487,-1.8284062084678572
-1.9313320605673299,-1.9129991736065959,-1.913159794631201
-1.999544789092142,-1.9848175225443678,-1.984931620547644
-2.058978387528484,-2.046903600492364,-2.0469867701664213
-2.1115291504449623,-2.101459263303485,-2.1015213014947753
