DG,Order_1,QBDRAP
-0.02987088065700206,-0.02987088065700206,-0.016240020572586947
-0.28273403119816554,-0.4543640197324046,-0.057776522362057915
-0.6173976584336957,-0.5325091822512514,-0.14870490358467858
-0.9636043488400232,-0.6709499559920276,-0.2769772604354644
-1.2778024863035564,-0.7722228600231436,-0.4047963525318128
-2.7413524871157633,-0.8470896437064142,-0.5222130240824793
-3.3720473084049867,-0.9246599426172006,-0.6295188718665872
-3.9881435200296527,-0.9868131041129957,-0.7276806208358007
-4.057882608112971,-1.0336361935399327,-0.8149444744892193
-4.033146322120124,-1.0804151024104098,-0.8936280895896435
-4.0118851389708015,-1.1217450579720714,-0.9654300296100699
