DG,Order_1,QBDRAP
0.04055040696141372,0.04055040696141372,0.0719491211647971
-0.4534421602033839,-0.7406906509962088,-0.013067062693804041
-1.1347689265705456,-0.71263444499184,-0.18302833026055942
-1.825512248241214,-1.0163015879681845,-0.4193276602472022
-2.4168645290841475,-1.2128518916186992,-0.651428773404012
-5.22934517552773,-1.3824853304897096,-0.8680213567433869
-6.5463410723748945,-1.5236010511345253,-1.068887489886924
-7.29844102505496,-1.644174184141179,-1.2543194507459734
-7.20115859176041,-1.7490408264398578,-1.4251333122707404
-7.1070782792159495,-1.8421531600514232,-1.5824797033624745
-7.022960701037809,-1.9262297704064195,-1.7276008092170523
