DG,Unif,QBDRAP
-0.8504957958546046,-0.8504957958546046,-0.8264903823446812
-1.355963342003479,-1.5269997145118477,-0.8853911990281633
-1.8456591010871197,-1.739161086371697,-0.9948207590096925
-2.28568987466434,-2.0142426121119597,-1.147569924263564
-2.689073678988939,-2.2216886206747173,-1.2992968984106832
-4.256892658598121,-2.3778221166571147,-1.437303740680442
-4.801381443964367,-2.52651023378994,-1.5604289616606668
-4.8256880294092115,-2.649350358669713,-1.6704369230533476
-4.8256880602004255,-2.746980635296296,-1.7693816294002107
-4.82568808516228,-2.840940972741634,-1.8588333206229133
-4.825688112837039,-2.924787429277493,-1.9395939481881426
