DG,Unif,QBDRAP
-0.6116446691964298,-0.6116446691964298,-0.5574049636702826
-1.0348810442917364,-1.2613079522542539,-0.634643956251575
-1.5447677912604483,-1.152079627988534,-0.7077549570718173
-1.982731844326189,-1.436424334906228,-0.8319031941104421
-2.401503529556225,-1.6762306092758736,-0.9550482510311652
-3.8612475302839866,-1.7838430934169818,-1.0696391827452951
-4.4527857341333394,-1.9407565573768355,-1.1754001225089001
-4.678019592405688,-2.0636962390186206,-1.2727894051430413
-4.681951064602626,-2.1554026826372255,-1.3625122511234724
-4.682599305310204,-2.2619129657081394,-1.4453228272565148
-4.683379242025455,-2.3428417843573395,-1.5219380976828765
