t,φ,X,n
0.5,1,0.13610120558854893,1
0.5,1,0.3821395507734873,1
0.5,1,0.26241665176191953,2
0.5,1,0.2778693813668608,1
0.5,1,0.284422277364787,1
0.5,1,0.35378160719046786,1
0.5,2,2.1317074883805427,1
0.5,1,0.08754922637317186,2
0.5,1,0.013365408636351994,2
0.5,1,0.6074531967310134,0
0.5,2,1.5878439820171821,0
0.5,2,0.5834722317777856,1
0.5,2,1.181039884657742,2
0.5,2,1.3230857200844808,0
0.5,1,0.661193197785322,0
0.5,1,0.6019516142873499,0
0.5,1,0.242908200161975,2
0.5,2,0.461867428616416,1
0.5,1,2.9751263107367807,0
0.5,1,0.05376564938864059,7
0.5,2,0.7925005022027671,0
0.5,2,2.08536739843923,0
0.5,1,1.0263477882968801,0
0.5,2,0.9015524733318189,1
0.5,1,1.7971004999724116,0
0.5,1,0.7565059825338205,1
0.5,2,0.3478502337488072,0
0.5,1,0.1841253092525233,1
0.5,2,0.0933580405078237,0
0.5,2,1.1530088558807865,1
0.5,1,0.6015722859084974,0
0.5,1,1.1691772101879518,0
0.5,1,1.0865416610945986,0
0.5,1,0.9167434398653517,0
0.5,2,0.5417487716869334,0
0.5,1,0.03825797235478995,1
0.5,1,0.20377507191475736,2
0.5,2,0.6569738709003263,2
0.5,1,1.0991346791316363,1
0.5,1,1.35901157529178,0
0.5,2,1.3953642757018505,0
0.5,2,0.07128056599373411,2
0.5,2,0.06041772135766771,2
0.5,1,0.716969184742273,0
0.5,1,0.23687937103497486,3
0.5,1,3.2723455519247513,2
0.5,2,0.3073810150134296,1
0.5,1,0.9712892529622426,0
0.5,1,0.6508121079051835,0
0.5,1,1.1682550679360968,1
0.5,1,0.49352161771000863,1
0.5,1,0.6205925690924895,1
0.5,1,1.6341854961142122,0
0.5,2,2.835636875128314,1
0.5,1,0.33721404374140906,1
0.5,1,3.314094752168929,0
0.5,1,0.8779616966225738,0
0.5,1,3.314531549538624,0
0.5,1,1.402552237579589,0
0.5,2,0.3035383684406133,2
0.5,2,0.5572467848323042,1
0.5,2,0.8889485490255903,2
0.5,1,0.9954098553310698,0
0.5,2,0.8987275444914626,1
0.5,1,4.265066275431423,2
0.5,2,1.1768263885458141,1
0.5,1,0.41666662280412703,1
0.5,1,0.22656856322522634,3
0.5,1,1.2524740916013049,1
0.5,1,0.9601547223730864,1
0.5,1,0.6268140603544372,0
0.5,2,0.7351483334296212,1
0.5,2,0.12460520920099843,1
0.5,2,3.6275860419700425,0
0.5,1,0.5880399230608958,0
0.5,1,1.1173697865913348,1
0.5,1,0.7056663338272628,0
0.5,1,1.1000294165461848,0
0.5,1,0.43582517370017826,1
0.5,1,2.7737868629748452,0
0.5,1,0.6226042238033453,1
0.5,2,3.004884125907596,1
0.5,2,0.13571953993366892,0
0.5,1,0.2705883991138877,2
0.5,1,1.1689531328568925,0
0.5,2,0.8855497445541229,1
0.5,1,1.0918385453812203,1
0.5,2,1.1093598675077976,0
0.5,1,0.8226637887465784,0
0.5,2,0.4586224423015099,1
0.5,2,1.6891011276286967,1
0.5,1,0.1478768886048143,2
0.5,2,0.4659504868742056,0
0.5,1,2.399881403128888,0
0.5,2,1.971414938977837,1
0.5,1,1.4407729524927495,0
0.5,1,1.4547690393162267,1
0.5,1,1.6263761431819908,0
0.5,1,1.9361353726663082,0
0.5,1,0.7790227671715692,0
0.5,1,0.889266540829655,1
0.5,2,1.1744690195020715,0
0.5,1,1.8894966153575226,1
0.5,1,1.0350665123560039,3
0.5,1,1.2770452391354756,0
0.5,2,0.10469179102519566,2
0.5,1,2.1098640793670906,0
0.5,1,1.0772078820679747,0
0.5,2,0.8989564195864621,1
0.5,1,0.12639880510093654,1
0.5,1,0.21073663456585912,1
0.5,2,1.883465806249583,2
0.5,1,0.4968817440094015,1
0.5,1,0.9950080693435464,2
0.5,1,3.1092232229978767,1
0.5,2,2.1795389376505176,1
0.5,2,0.06425857191455492,2
0.5,1,0.29815695739117565,1
0.5,1,0.5499342963022704,1
0.5,1,0.7272034757035976,2
0.5,1,3.5244666553174255,0
0.5,1,0.25146916355536536,1
0.5,2,0.04473632982036746,0
0.5,1,1.0469299732389912,0
0.5,1,0.4086032807414937,3
0.5,2,0.28391843567925534,0
0.5,2,0.1678213131798545,0
0.5,2,0.44950489168232943,0
0.5,1,1.1778911758821178,0
0.5,2,0.5282900186168178,0
0.5,1,0.4490772587370469,1
0.5,2,0.46745416094407616,3
0.5,2,2.6272115334358155,0
0.5,1,1.044138029088351,0
0.5,2,0.23485696319517513,1
0.5,2,0.7255871700931678,1
0.5,1,1.1767704485726371,0
0.5,2,1.143330650996029,0
0.5,2,1.4574269467320191,1
0.5,1,0.3251028086876845,3
0.5,2,0.8318551462870507,0
0.5,1,0.3804323017977197,1
0.5,1,0.035831648748019806,1
0.5,1,1.0053473089495166,0
0.5,1,1.2944009393829876,0
0.5,1,0.2668579698956939,1
0.5,2,0.24530607507777513,0
0.5,2,0.04440001763095225,0
0.5,1,0.3853732827893479,1
0.5,2,1.3752844797606285,0
0.5,1,0.23222298296426364,3
0.5,2,0.4715064311485274,1
0.5,2,0.5750508279564983,2
0.5,1,0.53339654710456,1
0.5,1,2.460716472447513,0
0.5,2,2.6052212041279885,1
0.5,2,0.4419589972075366,1
0.5,1,0.39430328709993495,1
0.5,1,0.4849996857391221,2
0.5,1,0.1839225669152288,3
0.5,1,0.16867896972720897,1
0.5,2,5.907589784610308,0
0.5,1,0.15983897726521434,3
0.5,2,2.1928213589289705,0
0.5,2,0.6213678421830849,3
0.5,2,2.201120313706896,1
0.5,2,0.5087255867595616,1
0.5,2,0.05630445128370243,1
0.5,2,0.5976735620284619,1
0.5,2,1.742701838366968,2
0.5,1,0.030116109266220326,3
0.5,1,0.27254040739026175,1
0.5,2,0.07547852931665455,0
0.5,1,1.9225378107852724,0
0.5,2,0.32208481434394065,0
0.5,1,0.8932360238959243,1
0.5,1,3.695748560171397,0
0.5,1,0.5759014594379945,1
0.5,1,1.4225095103107854,0
0.5,1,3.328766720114177,0
0.5,1,1.3478623725288656,0
0.5,1,0.460891432298399,1
0.5,2,3.74340380048646,1
0.5,1,1.5254194425340772,1
0.5,2,0.8586389506622565,0
0.5,1,0.5589344547535242,0
0.5,1,0.7112197753881231,1
0.5,1,0.32004995402337755,1
0.5,2,0.5365021993896282,1
0.5,1,0.9983408938833538,0
0.5,1,1.3373191074279056,0
0.5,1,1.779122118933483,0
0.5,1,2.668082223444169,0
0.5,2,3.4784177089915356,2
0.5,2,1.762131175050869,0
0.5,1,1.8526485649973823,0
0.5,1,0.3708462657126218,1
0.5,1,0.7545166887506649,0
0.5,1,3.6404391769136,1
0.5,1,0.12623173745560018,1
0.5,1,1.8186249292177867,0
0.5,2,1.0950121384634042,1
0.5,1,0.0019698211467502613,3
0.5,1,0.6204414998565428,0
0.5,1,0.6903589283763794,0
0.5,2,1.7461207939432857,0
0.5,1,0.6804239970914949,1
0.5,1,0.2233814458634143,3
0.5,1,0.7070928517370789,0
0.5,2,0.6481940378220792,0
0.5,2,1.1442271885528283,1
0.5,2,1.251427776359051,0
0.5,2,1.120213589356979,1
0.5,1,0.585381080520225,0
0.5,2,1.5356768119447635,1
0.5,1,1.3593318474194633,0
0.5,1,1.8090555632004095,0
0.5,1,1.5347921277482106,1
0.5,1,2.338820864000948,0
0.5,1,2.0164327020826844,0
0.5,1,1.4749570638068312,0
0.5,2,0.3359984720423378,1
0.5,2,0.8581840450996392,2
0.5,1,3.2899818379015673,0
0.5,2,1.402922591865556,1
0.5,1,0.6051907998004064,1
0.5,2,0.56661110586098,1
0.5,1,0.6687322503546679,0
0.5,2,0.6411126578714792,1
0.5,2,0.0217858121083091,0
0.5,1,0.8473012432941319,1
0.5,1,0.6459374649111532,0
0.5,2,0.6543252569883444,1
0.5,2,1.003845163509013,0
0.5,2,0.4630710036952587,1
0.5,1,3.583056740038327,0
0.5,2,1.9522072561828718,0
0.5,2,0.3182341225287448,2
0.5,1,1.9118279588248466,1
0.5,1,1.3024877130567214,0
0.5,1,1.9428894092970925,0
0.5,2,0.5066056085907984,2
0.5,2,1.1990333864747198,1
0.5,2,0.7573667932455332,1
0.5,1,1.2901909878299391,0
0.5,2,2.1523784395861685,0
0.5,1,3.3747710862110663,0
0.5,2,0.36418008940823,2
0.5,1,0.43223211296797137,1
0.5,2,2.9055032280683086,2
0.5,1,2.112637037836887,1
0.5,1,0.3645079477132914,1
0.5,1,0.6979064972254175,0
0.5,1,0.1747342411098292,1
0.5,2,0.29073108221150634,0
0.5,1,0.3553996371070709,3
0.5,2,0.32237360369355217,0
0.5,2,0.8085547048429483,1
0.5,1,0.6597043146549981,0
0.5,2,0.5342052214221991,2
0.5,1,1.3258972085410996,0
0.5,1,0.5274138491499111,0
0.5,1,1.176675770787159,2
0.5,2,0.3792502433129797,1
0.5,1,2.17971306054583,0
0.5,2,0.011967055223616407,0
0.5,2,0.7292715040328097,0
0.5,2,1.5000682917148884,0
0.5,2,0.023646859103593765,0
0.5,1,1.5871186737501726,0
0.5,1,0.4234031377112326,1
0.5,1,0.6872330940782161,0
0.5,2,0.5597305321972923,2
0.5,2,0.0875159688295788,1
0.5,1,0.6037546558538719,0
0.5,2,0.1287397145355943,0
0.5,1,0.09073700024004933,1
0.5,1,0.2341919065897406,1
0.5,1,0.09206858061999762,1
0.5,1,2.8386394409614515,1
0.5,1,0.494573756904602,1
0.5,1,0.4887946698854223,1
0.5,1,0.34968777496938647,1
0.5,1,4.324279791455217,2
0.5,1,1.894857424696704,0
0.5,2,1.8032557222905563,0
0.5,1,2.0991308120081964,2
0.5,1,0.5404415056642071,0
0.5,1,1.187070427047046,1
0.5,2,3.404553471543477,1
0.5,2,3.353209021066418,0
0.5,1,0.08008943588113682,4
0.5,1,2.6614147224199716,0
0.5,1,4.448894932887456,1
0.5,1,0.09737496895242531,1
0.5,1,0.4232330983158713,1
0.5,1,1.2300981028684501,1
0.5,2,1.980504817642556,1
0.5,1,0.3401525043553547,1
0.5,2,2.706944726811955,1
0.5,2,0.2214904928249632,2
0.5,1,2.768766798344392,0
0.5,2,1.4982444007995515,1
0.5,1,0.6861530076064937,0
0.5,1,0.4114969667442052,1
0.5,1,0.7795372240793748,0
0.5,2,0.20654442581927784,1
0.5,1,1.332959269188009,0
0.5,1,0.857284738898686,0
0.5,2,0.08716995751824508,0
0.5,1,0.372543079950864,1
0.5,2,0.6679971815998949,1
0.5,2,0.4022031030473934,0
0.5,1,0.20592413819013966,1
0.5,1,1.713760231204365,1
0.5,2,0.42385696134472994,1
0.5,2,1.8784041357628296,2
0.5,2,0.6985241678857415,0
0.5,2,1.918378571228074,1
0.5,1,0.46434009282466776,2
0.5,2,0.5437560535712607,1
0.5,2,3.219410405207207,1
0.5,1,0.29764372653258053,1
0.5,1,0.3943503826958257,1
0.5,1,1.435481430495223,0
0.5,1,0.245845777446694,1
0.5,2,1.5304905405440956,3
0.5,1,3.995449015383651,2
0.5,2,0.7917934649513023,0
0.5,1,0.42407568598498024,1
0.5,1,0.4335223954856835,1
0.5,1,1.56236041624827,1
0.5,1,0.9135827742948426,0
0.5,1,0.579039154483232,1
0.5,1,1.070254688849638,2
0.5,1,0.27950921976720355,5
0.5,1,1.8843385990625472,1
0.5,2,0.0005871888667966507,0
0.5,2,2.4494654468088326,1
0.5,2,0.06614037231519876,0
0.5,1,5.05627071612427,0
0.5,1,1.2969022490506368,0
0.5,1,1.1216208507674228,1
0.5,2,0.9228914215221949,1
0.5,1,0.49534343829425076,1
0.5,1,0.12180306997244339,2
0.5,2,0.8229890216139921,1
0.5,2,2.2309075868202957,1
0.5,1,0.3441559751454249,1
0.5,1,0.8327658779864057,0
0.5,2,0.9349762087473279,0
0.5,2,1.607281548113768,0
0.5,1,1.6037229682748513,0
0.5,1,0.14377374378984886,1
0.5,2,2.679377891759456,1
0.5,1,0.018708492023674583,1
0.5,1,0.03792454985572857,1
0.5,1,0.9629662561281837,0
0.5,1,0.3948082266668735,1
0.5,1,0.004571710681412822,1
0.5,2,1.6939182308446132,0
0.5,2,0.5990523763032412,0
0.5,1,1.1017113666480511,1
0.5,2,0.470821330881812,0
0.5,1,0.8312920728647555,0
0.5,1,2.6620641259788784,0
0.5,2,0.49323800863487194,1
0.5,2,0.41362339956540384,3
0.5,1,0.6270349049623327,0
0.5,1,1.3274051347168463,1
0.5,1,2.4945638166902255,0
0.5,2,1.0739638463121959,1
0.5,1,1.4156173903346962,0
0.5,2,0.5116764536678224,1
0.5,1,1.4299432222248358,2
0.5,1,0.4267015760885535,1
0.5,1,3.665802136716658,0
0.5,2,1.2242467973496929,1
0.5,1,0.9144406711893374,0
0.5,1,0.35559696665092055,2
0.5,2,0.5164120461917643,0
0.5,2,2.5933806914998554,0
0.5,1,1.3134504199314863,0
0.5,2,0.07414855228000419,2
0.5,1,2.6390397915783983,0
0.5,1,0.5116697722414547,1
0.5,1,0.20015731472606518,2
0.5,1,0.07916111860958203,2
0.5,1,0.9939759861152345,1
0.5,1,2.3487500621396196,0
0.5,2,0.6481873976217686,1
0.5,2,1.0102764454828843,0
0.5,2,0.8094359349119626,0
0.5,2,0.39735002377515816,0
0.5,1,1.316057374635728,0
0.5,1,0.19521210935076844,2
0.5,1,0.6332901133026944,1
0.5,1,1.5707838573878834,0
0.5,1,2.3284528004762497,0
0.5,1,1.0467709365696045,1
0.5,1,0.6504556497228204,0
0.5,1,0.4673850395098791,1
0.5,2,0.7353481329779983,0
0.5,1,0.41651763067654446,2
0.5,1,1.3263054415169115,0
0.5,2,0.8358928731764026,0
0.5,2,0.810908838708246,1
0.5,1,0.8383952223136633,0
0.5,2,1.174998130253711,0
0.5,2,0.5989641598646692,1
0.5,1,0.320434350883708,1
0.5,1,1.40825554743236,0
0.5,2,0.04658378168776589,0
0.5,1,0.5330919144833245,0
0.5,2,0.8624969224825851,0
0.5,1,0.4792178734472211,1
0.5,1,0.8051604716688348,0
0.5,2,0.6602605488930404,0
0.5,2,0.4800808866961336,1
0.5,1,0.5105939946010883,0
0.5,1,1.062143238997547,0
0.5,1,0.05865701477476587,3
0.5,1,0.5179141381833327,0
0.5,2,0.08284073048652119,1
0.5,1,0.8900301123625218,1
0.5,1,0.9309270033328657,0
0.5,2,0.6424938157085933,0
0.5,1,0.9779813253472347,1
0.5,2,0.259563747784262,1
0.5,2,0.8488342070043424,0
0.5,2,3.59531750320605,0
0.5,1,0.27504620375913125,1
0.5,1,0.060314005972720075,3
0.5,2,0.1356450109119144,0
0.5,1,0.34857091564288334,1
0.5,1,7.256247200008451,0
0.5,1,2.407703721337671,1
0.5,2,0.944216285060429,1
0.5,1,0.1784812843436352,3
