dg1,dg2,order13,qbdrap4
-0.07161389277423584,-0.07161389277423584,-0.07161389277423584,-0.1307894442903233
-2.3797866968301995,-1.5306002752806733,-0.5212065479374125,-0.569881578390061
-2.824746605633938,-1.3292917864799043,-0.7367584663639863,-0.9034273383664437
-2.8436317396553807,-1.4697422863510925,-0.8843034755033429,-1.171446254926422
-2.841262653095507,-1.3764221595742945,-0.9980357600881054,-1.4000573231638227
-2.8424971682080025,-1.3699005207376396,-1.0914579575529457,-1.606634783808014
-2.8421782479984303,-1.3472949752566517,-1.1713143125295227,-1.80237653996501
-2.84208758080574,-1.3316003470599598,-1.2414930732461273,-1.991133128106858
-2.842249801885716,-1.3310632713773953,-1.30433993614673,-2.126183529725035
-2.8421594949236453,-1.3251561765952182,-1.3615175982633767,-2.231905709389604
-2.8421696880882927,-1.3230497188767067,-1.4144000075770338,-2.3237654421311866
