DG,Order_1,DG_limiter,QBDRAP
-0.5594909111249673,-0.5594909111249673,-0.6203982737282322,-0.5778880451904617
-1.0809303869651266,-0.6930836954632289,-0.7844660354170778,-0.800956318884836
-1.3552964751348457,-0.7695095546714581,-0.9002389556344847,-0.9528206194951516
-1.5246798751115567,-0.8243036959249164,-0.9907158974603926,-1.0782518617925552
-1.6483275148887324,-0.867061616237674,-1.0688761794887296,-1.1822818505939743
-1.746797079332295,-0.9027536074542833,-1.1350053409348764,-1.2685562714797483
-1.8280803627774829,-0.9330087065213495,-1.1937720531647842,-1.3413592495308455
-1.8969265790141514,-0.9592018743603905,-1.2447699798801812,-1.4041113038628306
-1.9552778249225544,-0.9826619293427166,-1.290744396974761,-1.4591723961349803
-2.0069004298207345,-1.0036637560758337,-1.333061548530279,-1.5081693777274177
-2.0544565945217816,-1.0227857176152686,-1.3711968633498066,-1.5522674724793792
