DG,Unif,QBDRAP
-Inf,-Inf,-1.2341002256761255
-4.124982156628765,-15.954589770191003,-1.6685893988455058
-4.146201434706188,-15.653559774527022,-1.5825655973795951
-4.150469537963907,-15.653559774527022,-1.6991357627243424
-4.152087999799167,-15.653559774527022,-1.7964916671690103
-4.152911448541417,-15.47746851547134,-1.8786816984728438
-4.1534213727413185,-15.653559774527022,-1.9495561376640227
-4.153786999942585,-15.954589770191003,-2.0115221492625306
-4.154083608491866,-15.653559774527022,-2.0664048732554368
-4.154343087203722,-15.653559774527022,-2.1155651223356133
-4.15458947892513,-15.954589770191003,-2.160025723970249
