DG,Order_1,QBDRAP
-31.307119549054043,-31.307119549054043,-1.73169182013231
-7.5229655449758965,-31.307119549054043,-2.426858657554121
-7.000390409883471,-31.14572159650825,-2.208852887357951
-6.678647596993518,-31.356353206607004,-2.350637085663299
-6.445212955932401,-31.38629210929889,-2.4442656954949085
-6.261972357507747,-31.535596372031552,-2.5211151647404257
-6.11122973348609,-31.680753514914898,-2.5897904837482293
-5.9832924307483175,-31.307119549054043,-2.6508305877454013
-5.872266458114025,-31.368768721217318,-2.705353165632222
-5.774297008408471,-31.13101019477193,-2.7544337697763726
-5.6867233000580235,-31.362125155174947,-2.79895915430354
