DG,Unif,QBDRAP
-15.653559774527022,-15.653559774527022,-0.9330702244231873
-3.82395214513432,-15.653559774527022,-1.3330470414205526
-3.651517538352515,-15.612147349159168,-1.226527724097252
-3.5524657259431867,-15.685754480194417,-1.340069280613254
-3.483188679004848,-15.704706868327309,-1.4471558883072344
-3.4301552921235134,-15.791861115525169,-1.5285025144135793
-3.3873805909160697,-15.864437569593616,-1.596992188211543
-3.3516931918558064,-15.653559774527022,-1.657013879646461
-3.3212081821179353,-15.69367209443789,-1.7109121174743014
-3.294718863276855,-15.589879343927473,-1.759259612896649
-3.271399352899356,-15.829613034477974,-1.8030600343593273
