unnormalised,naive,normalised
-0.3449188557265721,-0.5574049636702829,-0.5574049636702829
-0.5369692064632353,-0.6351130843895433,-0.6346439562515752
-0.6934380588602246,-0.7079721818309109,-0.7077549570718178
-0.8280736126220737,-0.8315638819034918,-0.8319031941104424
-0.9525167924571583,-0.9547538532294969,-0.9550482510311635
-1.06755314408476,-1.0694466471593846,-1.0696391827452933
-1.1735104987666212,-1.1752798311654673,-1.1754001225088966
-1.271002597984602,-1.272715449069183,-1.2727894051430413
-1.3607931245600582,-1.36246690022642,-1.3625122511234713
-1.4436555747246114,-1.4452948745053502,-1.4453228272565188
-1.520313468985673,-1.5219206381879125,-1.5219380976828716
