unnormalised,naive,normalised
-0.6214450151654151,-0.8264903823471631,-0.8264903823471631
-0.7873789537393202,-0.8861592430017387,-0.8853911990299714
-0.9624785673390989,-0.9948196336212589,-0.9948207590107983
-1.1353661848597605,-1.1477716433896015,-1.1475699242643598
-1.2930919445805986,-1.2998084641807257,-1.2992968984113382
-1.4332811945107768,-1.4378960327182517,-1.4373037406810214
-1.557556616169229,-1.560947583914511,-1.5604289616612013
-1.668310560937279,-1.670835604605128,-1.670436923053854
-1.7677884741874967,-1.7696677087085186,-1.7693816294007003
-1.8578620090324756,-1.859031132860977,-1.8588333206233938
-1.9394637865730584,-1.9397278599547427,-1.93959394818862
