unnormalised,naive,normalised
-0.04333840309607109,-0.016297102077247452,-0.016275042720083222
-0.08711494485063108,-0.05836716813735223,-0.05780254648686001
-0.17714113121926883,-0.1487173231909087,-0.14871832669445878
-0.29271848888954555,-0.2771362034561,-0.27697569434534325
-0.41254072344224996,-0.40515702604749265,-0.4047903815958456
-0.5272108223384184,-0.5225805714530384,-0.5222088689456247
-0.6337599855439451,-0.6298029143587928,-0.6295148212884076
-0.7304311180636484,-0.7278779370769832,-0.7276754585452392
-0.8163807263700311,-0.815074103240653,-0.8149374918923953
-0.894532216696651,-0.8937092178773403,-0.8936188880160181
-0.9661057988311912,-0.9654778960858882,-0.965418372833048
