DG,Unif,DG_limiter,QBDRAP
0.040905896644062655,0.040905896644062655,0.040905896644062655,0.039570647946307484
-1.7881246998597553,-0.27835962243695195,-0.1861100099763066,-0.4130928556506752
-3.0563976047997246,-0.44973781392212825,-0.17742503620536035,-0.7348784797625887
-3.296307628591219,-0.5693021134262276,-0.1757299409517186,-0.9798496505216159
-3.4671943884719627,-0.6617227466885899,-0.1713399985762965,-1.1763204353451946
-3.6137662197366156,-0.7372942399033853,-0.1721185468454823,-1.3378713051147872
-3.733217007119574,-0.8013304467636821,-0.17140123119156142,-1.4745739113759495
-3.837723802235907,-0.8569471921174557,-0.17083882819718607,-1.593203946440653
-3.9254076522859522,-0.9061347747351416,-0.16998969948039208,-1.6979601942140847
-4.002319780593023,-0.9502449642681454,-0.16018190209113745,-1.7917228585925606
-4.070522464013365,-0.990238772909208,-0.16332447379362985,-1.8765476947254365
