DG,Unif,DG_limiter,QBDRAP
-0.6963458810042809,-0.6963458810042809,-0.6963458810042809,-0.6934450395021129
-2.9056250970413,-0.9935251021778292,-0.8364268915779767,-1.1458921139156601
-3.9615429314586925,-1.1956309236850442,-0.8322768179740417,-1.5880255529223402
-4.057497430152746,-1.353590781411722,-0.8302397366787411,-1.9697572237166616
-4.140063478173601,-1.4844692429143906,-0.8280632055234608,-2.295689547288674
-4.218099715968438,-1.5965008240051608,-0.8279515796821815,-2.5744194822956232
-4.286972407423207,-1.694704920543246,-0.8266770296456957,-2.812552351991994
-4.348135338801193,-1.7822748413009044,-0.8262707830014857,-3.016135369323701
-4.403527599622568,-1.8611392021991426,-0.826873384957,-3.1901908938995147
-4.453433905593615,-1.93304104887422,-0.8251039021703664,-3.33883804848864
-4.498500458102574,-1.9990614968535554,-0.8266987169625267,-3.46569850466712
