DG,DG_limit,Order_1,QBDRAP
0.11678401297691639,0.0,0.11678401297691639,0.11678401297680106
0.007895393381772229,0.0,0.04391961978766229,0.03235262760115884
0.002664915960648865,0.0,0.028993967448604878,0.01597513873299905
0.001878475021685689,0.0,0.022398953863894223,0.009407219582556152
0.0020131299890585653,0.0,0.01826967210160182,0.006417146654454112
0.0019504793611778309,0.0,0.015452753404324102,0.004901201611649877
0.001960580135575597,0.0,0.01342156831887961,0.004053629327087933
0.0019733979518060042,0.0,0.01189892221906675,0.003525148776009827
0.0019535397373744074,0.0,0.01072006502775007,0.0031642104530460323
0.001968197700369576,0.0,0.009782396511478737,0.0029115386284794473
0.0019614166281967747,0.0,0.009019549797480358,0.002736710121067599
