DG,DG_limit,Unif,QBDRAP
0.11528714297691628,0.0,0.11528714297691628,0.11528714297680095
0.00703611413229685,0.0,0.042434159787662344,0.030845681200590475
0.0011927278286179063,0.0,0.027493027448604934,0.014481898732999056
0.0005912088289954395,0.0,0.020898193863894163,0.007916669582556086
0.0006022806954968997,0.0,0.016776432101601825,0.004948496321083457
0.000554212921291129,0.0,0.0139589158587183,0.0034243016116498074
0.0005538105697886322,0.0,0.011923059790136926,0.002571021431171
0.0005558334478172511,0.0,0.010396252219066643,0.0020485509691852625
0.0005482207449538014,0.0,0.009217395027749964,0.0016953550092615173
0.0005543635141253028,0.0,0.008280237046864408,0.001450936987355589
0.0005540306476782114,0.0,0.007525453414243022,0.0012721536687335289
