DG,DG_limit,Unif,QBDRAP
0.3612413781126775,0.0,0.3612413781126775,0.36119407502881634
0.1983087796199193,0.0,0.27813935890471525,0.25876769148933026
0.19121594637507786,0.0,0.2562609072809409,0.22938807458763386
0.18842161149559541,0.0,0.24451361863563778,0.21579574575939306
0.18682654887324043,0.0,0.23696252074308752,0.208203440680618
0.18573156796047038,0.0,0.23160486012572276,0.2034093344296691
0.1848925604496043,0.0,0.22755786711416934,0.20012212573098528
0.18420130603843918,0.0,0.22436564179370708,0.19773123245062915
0.18360279039922586,0.0,0.22176643478992328,0.19591354493981047
0.18306660228040003,0.0,0.21959807393551042,0.1944832195907625
0.18257463040515973,0.0,0.2177541308451286,0.19332619137502902
