DG,DG_limit,Unif,QBDRAP
0.1351812882444446,0.0,0.1351812882444446,0.12618074434446402
0.02534417146566277,0.0,0.08338258501246462,0.07773948863199617
0.014708248075770244,0.0,0.06989083972444382,0.05442742772864526
0.010654389629198008,0.0,0.06139233296330371,0.03970681895897089
0.008483950474253666,0.0,0.055362129283849926,0.03091179204299881
0.007135592100286731,0.0,0.05080855513261904,0.025222300717290768
0.006188381192025886,0.0,0.04720949350608299,0.02128650224933887
0.00551807007311819,0.0,0.04427528903836137,0.01842410286729821
0.004990650363677096,0.0,0.041825235921367644,0.0162526810989112
0.004582381944406025,0.0,0.03973962374968061,0.014558767801770895
0.004250717426687913,0.0,0.037934994391556495,0.013195748006569218
