DG,DG_limit,Order_1,QBDRAP
0.134791283223724,0.0,0.134791283223724,0.12583211682762538
0.025192282478261937,0.0,0.08318362564212517,0.07755030566328049
0.014383616494985235,0.0,0.0697036333890905,0.05420507640977888
0.010292931357386428,0.0,0.06119654656015919,0.03945070029518082
0.008111604859826746,0.0,0.05515821441170915,0.030626321224864937
0.0067541893095933265,0.0,0.05059535292831199,0.024916718143181405
0.00579432022257407,0.0,0.04698757625883376,0.020962346827649032
0.005112642465571486,0.0,0.04404432248925159,0.018081679590035187
0.0045787392209688995,0.0,0.04158487362639562,0.015898032509883267
0.004165843837863483,0.0,0.039490171138428336,0.014189150432227241
0.003828743903017128,0.0,0.037678580496258385,0.01281682640468686
