DG,DG_limit,Order_1,QBDRAP
0.3610441281126775,0.0,0.3610441281126775,0.36099682502881636
0.1981115296199193,0.0,0.27794210890471527,0.2585704414893303
0.19101869637507785,0.0,0.25606365728094094,0.22919082458763385
0.1882243614955954,0.0,0.24431636863563777,0.21559849575939305
0.18662929887324042,0.0,0.2367652707430875,0.20800619068061799
0.18553431796047037,0.0,0.23140761012572275,0.2032120844296691
0.1846953104496043,0.0,0.22736061711416933,0.19992487573098527
0.18400405603843917,0.0,0.22416839179370707,0.19753398245062914
0.18340554039922585,0.0,0.22156918478992327,0.19571629493981046
0.18286935228040002,0.0,0.21940082393551041,0.1942859695907625
0.18237738040515972,0.0,0.2175568808451286,0.193128941375029
