DG,DG_limit,Unif,QBDRAP
0.1344359526067811,0.0,0.1344359526067811,0.12552178652406068
0.02509475153112567,0.0,0.08301231193508417,0.07739470438887926
0.014164357345809599,0.0,0.06953924226958853,0.05401467305406832
0.010076811902264629,0.0,0.06102629161147963,0.039238406322948435
0.007882821206623213,0.0,0.054979407352067494,0.03039396141390749
0.006516009479633872,0.0,0.050415962487340246,0.024664962327610854
0.005546480889409505,0.0,0.04679997692101516,0.02069616470206729
0.0048577076887933,0.0,0.043845990409588254,0.017802994650782923
0.004322630160529311,0.0,0.04138052638203124,0.01561098847357791
0.0039032565615351855,0.0,0.03927934677750344,0.013894521091715142
0.0035616446395291333,0.0,0.037461215110996586,0.01251662870777366
