DG,DG_limit,Order_1,QBDRAP
0.36086719811267753,0.0,0.36086719811267753,0.3608198950288164
0.19793459961991933,0.0,0.2777651789047153,0.2583935114893303
0.19084176637507788,0.0,0.255886727280941,0.22901389458763388
0.18804743149559544,0.0,0.2441394386356378,0.21542156575939309
0.18645236887324046,0.0,0.23658834074308754,0.20782926068061802
0.1853573879604704,0.0,0.2312306801257228,0.20303515442966913
0.18451838044960434,0.0,0.22718368711416936,0.1997479457309853
0.1838271260384392,0.0,0.2239914617937071,0.19735705245062918
0.1832286103992259,0.0,0.2213922547899233,0.1955393649398105
0.18269242228040006,0.0,0.21922389393551045,0.19410903959076253
0.18220045040515975,0.0,0.21737995084512862,0.19295201137502904
