t,phase_1,phase_2
0.0,0.0,0.0
0.005,0.0,0.0027386
0.01,0.0,0.0054272
0.015,0.0,0.0081432
0.02,0.0,0.010846
0.025,0.0,0.0135424
0.03,0.0,0.016166
0.035,0.0,0.0188476
0.04,0.0,0.0214668
0.045,0.0,0.0241106
0.05,0.0,0.0267252
0.055,0.0,0.0293494
0.06,0.0,0.0318856
0.065,0.0,0.0344326
0.07,0.0,0.0370234
0.075,0.0,0.0396072
0.08,0.0,0.0421042
0.085,0.0,0.0446456
0.09,0.0,0.0471538
0.095,0.0,0.0496322
0.1,0.0,0.0521016
0.105,0.0,0.0545584
0.11,0.0,0.0570052
0.115,0.0,0.0594976
0.12,0.0,0.0619428
0.125,0.0,0.0643948
0.13,0.0,0.0668332
0.135,0.0,0.0692492
0.14,0.0,0.0716588
0.145,0.0,0.0739974
0.15,0.0,0.076395
0.155,0.0,0.0787532
0.16,0.0,0.0810848
0.165,0.0,0.0833912
0.17,0.0,0.0856694
0.175,0.0,0.087993
0.18,0.0,0.0902468
0.185,0.0,0.092518
0.19,0.0,0.0948004
0.195,0.0,0.097001
0.2,0.0,0.0992422
0.205,0.0,0.1014558
0.21,0.0,0.1036474
0.215,0.0,0.1058578
0.22,0.0,0.1080342
0.225,0.0,0.1101898
0.23,0.0,0.1124192
0.235,0.0,0.1145938
0.24,0.0,0.1167792
0.245,0.0,0.1189064
0.25,0.0,0.1210434
0.255,0.0,0.123163
0.26,0.0,0.1252704
0.265,0.0,0.1273166
0.27,0.0,0.1294514
0.275,0.0,0.131608
0.28,0.0,0.1337142
0.285,0.0,0.135745
0.29,0.0,0.1377912
0.295,0.0,0.1398662
0.3,0.0,0.141929
0.305,0.0,0.1439808
0.31,0.0,0.1460222
0.315,0.0,0.148023
0.32,0.0,0.1500212
0.325,0.0,0.1520046
0.33,0.0,0.1539838
0.335,0.0,0.1559798
0.34,0.0,0.1579666
0.345,0.0,0.1599316
0.35,0.0,0.161842
0.355,0.0,0.1637546
0.36,0.0,0.1656574
0.365,0.0,0.1675654
0.37,0.0,0.1694944
0.375,0.0,0.1713596
0.38,0.0,0.1732222
0.385,0.0,0.1750842
0.39,0.0,0.1769314
0.395,0.0,0.1788068
0.4,0.0,0.1806294
0.405,0.0,0.1824748
0.41,0.0,0.1843116
0.415,0.0,0.18616
0.42,0.0,0.1879952
0.425,0.0,0.189769
0.43,0.0,0.1916132
0.435,0.0,0.193412
0.44,0.0,0.1951948
0.445,0.0,0.1970052
0.45,0.0,0.1987574
0.455,0.0,0.2004754
0.46,0.0,0.2022196
0.465,0.0,0.2039564
0.47,0.0,0.2057052
0.475,0.0,0.2074384
0.48,0.0,0.209174
0.485,0.0,0.210851
0.49,0.0,0.2125172
0.495,0.0,0.2142036
0.5,0.0,0.2158866
0.505,0.0,0.2176176
0.51,0.0,0.2192622
0.515,0.0,0.220895
0.52,0.0,0.2225554
0.525,0.0,0.2241458
0.53,0.0,0.225786
0.535,0.0,0.2274038
0.54,0.0,0.2290922
0.545,0.0,0.230713
0.55,0.0,0.2323632
0.555,0.0,0.2339768
0.56,0.0,0.2356172
0.565,0.0,0.237227
0.57,0.0,0.2388208
0.575,0.0,0.2404162
0.58,0.0,0.2419868
0.585,0.0,0.2435648
0.59,0.0,0.245152
0.595,0.0,0.246718
0.6,0.0,0.2482568
0.605,0.0,0.2497816
0.61,0.0,0.2512986
0.615,0.0,0.252825
0.62,0.0,0.2543438
0.625,0.0,0.255843
0.63,0.0,0.2573268
0.635,0.0,0.2588498
0.64,0.0,0.2603268
0.645,0.0,0.261822
0.65,0.0,0.2633176
0.655,0.0,0.2647826
0.66,0.0,0.2662314
0.665,0.0,0.267691
0.67,0.0,0.269134
0.675,0.0,0.2706012
0.68,0.0,0.2720776
0.685,0.0,0.2734746
0.69,0.0,0.2748792
0.695,0.0,0.2763418
0.7,0.0,0.277763
0.705,0.0,0.2792374
0.71,0.0,0.2806284
0.715,0.0,0.2820076
0.72,0.0,0.2833762
0.725,0.0,0.2847486
0.73,0.0,0.2861266
0.735,0.0,0.2874944
0.74,0.0,0.2888676
0.745,0.0,0.2902626
0.75,0.0,0.2915884
0.755,0.0,0.2929324
0.76,0.0,0.294256
0.765,0.0,0.2955826
0.77,0.0,0.296911
0.775,0.0,0.2982656
0.78,0.0,0.2995966
0.785,0.0,0.300922
0.79,0.0,0.3022778
0.795,0.0,0.303567
0.8,0.0,0.3048846
0.805,0.0,0.3061786
0.81,0.0,0.3074792
0.815,0.0,0.3087534
0.82,0.0,0.310094
0.825,0.0,0.3113282
0.83,0.0,0.3125872
