t,phase_1,phase_2
0.0,0.0,0.0
0.005,0.0,0.0026958
0.01,0.0,0.005406
0.015,0.0,0.0081094
0.02,0.0,0.0108714
0.025,0.0,0.0135394
0.03,0.0,0.0162044
0.035,0.0,0.0188534
0.04,0.0,0.0214746
0.045,0.0,0.0240984
0.05,0.0,0.0267052
0.055,0.0,0.0292926
0.06,0.0,0.0318774
0.065,0.0,0.0343962
0.07,0.0,0.0369712
0.075,0.0,0.0395202
0.08,0.0,0.0420252
0.085,0.0,0.0445552
0.09,0.0,0.0470706
0.095,0.0,0.049624
0.1,0.0,0.0520728
0.105,0.0,0.05448
0.11,0.0,0.0568766
0.115,0.0,0.059371
0.12,0.0,0.061811
0.125,0.0,0.0642938
0.13,0.0,0.0667274
0.135,0.0,0.0691066
0.14,0.0,0.071458
0.145,0.0,0.0738748
0.15,0.0,0.0762394
0.155,0.0,0.0785792
0.16,0.0,0.0809624
0.165,0.0,0.0832872
0.17,0.0,0.0856056
0.175,0.0,0.0878982
0.18,0.0,0.0902214
0.185,0.0,0.09245
0.19,0.0,0.094751
0.195,0.0,0.0969558
0.2,0.0,0.099158
0.205,0.0,0.1013718
0.21,0.0,0.1035872
0.215,0.0,0.1058386
0.22,0.0,0.1079894
0.225,0.0,0.1101732
0.23,0.0,0.1123362
0.235,0.0,0.1144978
0.24,0.0,0.1166946
0.245,0.0,0.1188218
0.25,0.0,0.1209756
0.255,0.0,0.1230962
0.26,0.0,0.1252322
0.265,0.0,0.1272666
0.27,0.0,0.129381
0.275,0.0,0.1315462
0.28,0.0,0.1336096
0.285,0.0,0.135622
0.29,0.0,0.1376528
0.295,0.0,0.1396986
0.3,0.0,0.1417516
0.305,0.0,0.1437682
0.31,0.0,0.1457818
0.315,0.0,0.1477684
0.32,0.0,0.1498022
0.325,0.0,0.1517968
0.33,0.0,0.1537668
0.335,0.0,0.155774
0.34,0.0,0.157742
0.345,0.0,0.159699
0.35,0.0,0.161628
0.355,0.0,0.1635548
0.36,0.0,0.1654766
0.365,0.0,0.1673574
0.37,0.0,0.1693038
0.375,0.0,0.1711694
0.38,0.0,0.173046
0.385,0.0,0.1748906
0.39,0.0,0.1767536
0.395,0.0,0.178603
0.4,0.0,0.1804704
0.405,0.0,0.1822916
0.41,0.0,0.1841082
0.415,0.0,0.1859474
0.42,0.0,0.1877628
0.425,0.0,0.1895368
0.43,0.0,0.1913602
0.435,0.0,0.1931872
0.44,0.0,0.1949762
0.445,0.0,0.1967558
0.45,0.0,0.198549
0.455,0.0,0.2003272
0.46,0.0,0.202074
0.465,0.0,0.2037998
0.47,0.0,0.2055334
0.475,0.0,0.2072404
