t,phase_1,phase_2
0.0,0.0,0.0
0.005,0.0,0.002686
0.01,0.0,0.005342
0.015,0.0,0.0080988
0.02,0.0,0.0108326
0.025,0.0,0.0135286
0.03,0.0,0.0161954
0.035,0.0,0.0188318
0.04,0.0,0.0214334
0.045,0.0,0.0241032
0.05,0.0,0.0266924
0.055,0.0,0.0292964
0.06,0.0,0.0318582
0.065,0.0,0.0344312
0.07,0.0,0.0369996
0.075,0.0,0.0395726
0.08,0.0,0.0420898
0.085,0.0,0.044635
0.09,0.0,0.0471272
0.095,0.0,0.0496492
0.1,0.0,0.0521374
0.105,0.0,0.0545592
0.11,0.0,0.0569486
0.115,0.0,0.0594038
0.12,0.0,0.0618412
0.125,0.0,0.0643236
0.13,0.0,0.0667
0.135,0.0,0.0691392
0.14,0.0,0.0715718
0.145,0.0,0.0739606
0.15,0.0,0.0763628
0.155,0.0,0.0787338
0.16,0.0,0.081105
0.165,0.0,0.0834018
0.17,0.0,0.0857054
0.175,0.0,0.0880394
0.18,0.0,0.090288
0.185,0.0,0.0925636
0.19,0.0,0.094845
0.195,0.0,0.097062
0.2,0.0,0.0993124
0.205,0.0,0.1015604
0.21,0.0,0.1037968
0.215,0.0,0.1060232
0.22,0.0,0.108175
0.225,0.0,0.1103454
0.23,0.0,0.1125356
0.235,0.0,0.1146706
0.24,0.0,0.116864
0.245,0.0,0.1189966
0.25,0.0,0.1211342
0.255,0.0,0.1233258
0.26,0.0,0.125466
0.265,0.0,0.1275378
0.27,0.0,0.1296926
0.275,0.0,0.1318262
0.28,0.0,0.1338914
0.285,0.0,0.1359744
0.29,0.0,0.1379928
0.295,0.0,0.1400384
0.3,0.0,0.1421132
0.305,0.0,0.1441668
0.31,0.0,0.1461896
0.315,0.0,0.1481786
0.32,0.0,0.1502164
0.325,0.0,0.1521582
0.33,0.0,0.1541622
0.335,0.0,0.15618
0.34,0.0,0.1581798
0.345,0.0,0.1601538
0.35,0.0,0.162059
0.355,0.0,0.1639822
0.36,0.0,0.1658984
0.365,0.0,0.1677856
0.37,0.0,0.1697304
0.375,0.0,0.1716028
0.38,0.0,0.1735044
0.385,0.0,0.1753698
0.39,0.0,0.1772582
0.395,0.0,0.1791994
0.4,0.0,0.1810658
0.405,0.0,0.1829112
0.41,0.0,0.1847436
0.415,0.0,0.1865746
0.42,0.0,0.1884012
0.425,0.0,0.1901954
0.43,0.0,0.1920288
0.435,0.0,0.1938512
0.44,0.0,0.1956278
0.445,0.0,0.197401
0.45,0.0,0.1992022
0.455,0.0,0.2009606
0.46,0.0,0.2026926
0.465,0.0,0.204457
0.47,0.0,0.2062014
0.475,0.0,0.207906
0.48,0.0,0.2096532
0.485,0.0,0.211323
0.49,0.0,0.2129544
0.495,0.0,0.2146438
0.5,0.0,0.2163254
