t,phase_1,phase_2
0.0,0.0,0.0
0.005,0.0,0.0027412
0.01,0.0,0.0054694
0.015,0.0,0.0081804
0.02,0.0,0.0109098
0.025,0.0,0.0135982
0.03,0.0,0.0162558
0.035,0.0,0.0188532
0.04,0.0,0.02147
0.045,0.0,0.024123
0.05,0.0,0.0267292
0.055,0.0,0.0293474
0.06,0.0,0.0319366
0.065,0.0,0.0344742
0.07,0.0,0.0370652
0.075,0.0,0.0396782
0.08,0.0,0.0421952
0.085,0.0,0.0447642
0.09,0.0,0.0472686
0.095,0.0,0.0497878
0.1,0.0,0.0522482
0.105,0.0,0.054705
0.11,0.0,0.0571908
0.115,0.0,0.0596858
0.12,0.0,0.0621026
0.125,0.0,0.064586
0.13,0.0,0.0670176
0.135,0.0,0.0694174
0.14,0.0,0.0717948
0.145,0.0,0.0742054
0.15,0.0,0.076579
0.155,0.0,0.0789234
0.16,0.0,0.0813024
0.165,0.0,0.0836316
0.17,0.0,0.0858982
0.175,0.0,0.0882114
0.18,0.0,0.0905156
0.185,0.0,0.0927238
0.19,0.0,0.0950686
0.195,0.0,0.0972994
0.2,0.0,0.0995344
0.205,0.0,0.1017132
0.21,0.0,0.1038844
0.215,0.0,0.1060906
0.22,0.0,0.1082436
0.225,0.0,0.110401
0.23,0.0,0.1125994
0.235,0.0,0.1147748
0.24,0.0,0.1169672
0.245,0.0,0.1190944
0.25,0.0,0.1212106
0.255,0.0,0.1233668
0.26,0.0,0.125548
0.265,0.0,0.1275586
0.27,0.0,0.12968
0.275,0.0,0.1318294
0.28,0.0,0.133935
0.285,0.0,0.1359822
0.29,0.0,0.1380368
0.295,0.0,0.1400856
0.3,0.0,0.142128
0.305,0.0,0.1441832
0.31,0.0,0.1462314
0.315,0.0,0.1482006
0.32,0.0,0.1502618
0.325,0.0,0.15226
0.33,0.0,0.1542222
0.335,0.0,0.156236
0.34,0.0,0.158228
0.345,0.0,0.1601986
0.35,0.0,0.1621046
0.355,0.0,0.1640162
0.36,0.0,0.1659404
0.365,0.0,0.1678482
0.37,0.0,0.1698014
0.375,0.0,0.1717096
0.38,0.0,0.1735812
0.385,0.0,0.1754462
0.39,0.0,0.1773164
0.395,0.0,0.179179
0.4,0.0,0.1810322
0.405,0.0,0.1828576
0.41,0.0,0.1846724
0.415,0.0,0.1865192
0.42,0.0,0.188345
0.425,0.0,0.1901522
0.43,0.0,0.1920224
0.435,0.0,0.1938582
0.44,0.0,0.1955976
0.445,0.0,0.1974104
0.45,0.0,0.1992122
0.455,0.0,0.2009438
0.46,0.0,0.2026892
0.465,0.0,0.2043958
0.47,0.0,0.2061114
0.475,0.0,0.2078506
0.48,0.0,0.2095766
0.485,0.0,0.2112562
0.49,0.0,0.2129354
0.495,0.0,0.2145592
0.5,0.0,0.2162496
0.505,0.0,0.2179578
0.51,0.0,0.2196324
0.515,0.0,0.2212322
0.52,0.0,0.2229168
0.525,0.0,0.2245386
0.53,0.0,0.226219
0.535,0.0,0.2278372
0.54,0.0,0.2295254
0.545,0.0,0.2311414
0.55,0.0,0.232775
0.555,0.0,0.2343982
0.56,0.0,0.2360348
0.565,0.0,0.2376658
0.57,0.0,0.2392336
0.575,0.0,0.2408154
0.58,0.0,0.2424036
0.585,0.0,0.2440194
0.59,0.0,0.2455788
0.595,0.0,0.2471462
0.6,0.0,0.2486812
0.605,0.0,0.2501846
0.61,0.0,0.2517086
0.615,0.0,0.2532762
0.62,0.0,0.2548034
0.625,0.0,0.2563306
0.63,0.0,0.257797
0.635,0.0,0.2592946
0.64,0.0,0.260784
0.645,0.0,0.2622568
0.65,0.0,0.2637522
0.655,0.0,0.2652264
0.66,0.0,0.266683
0.665,0.0,0.268149
0.67,0.0,0.269583
0.675,0.0,0.2710436
0.68,0.0,0.2725104
0.685,0.0,0.2739414
0.69,0.0,0.2753532
0.695,0.0,0.2768142
0.7,0.0,0.278251
0.705,0.0,0.27969
0.71,0.0,0.2810554
0.715,0.0,0.2824344
0.72,0.0,0.2837942
0.725,0.0,0.2851718
0.73,0.0,0.2865276
0.735,0.0,0.2879304
0.74,0.0,0.2893102
0.745,0.0,0.2906606
0.75,0.0,0.291982
0.755,0.0,0.2933236
0.76,0.0,0.2946786
0.765,0.0,0.2960216
0.77,0.0,0.2973024
0.775,0.0,0.2986652
0.78,0.0,0.2999684
0.785,0.0,0.3012868
0.79,0.0,0.3025918
0.795,0.0,0.3039208
0.8,0.0,0.3052236
0.805,0.0,0.306502
0.81,0.0,0.3078022
0.815,0.0,0.3090894
0.82,0.0,0.3104246
0.825,0.0,0.3116842
0.83,0.0,0.312947
0.835,0.0,0.3142188
0.84,0.0,0.3154492
0.845,0.0,0.3166838
0.85,0.0,0.3179336
0.855,0.0,0.319132
0.86,0.0,0.3203496
0.865,0.0,0.3215922
0.87,0.0,0.3228086
0.875,0.0,0.3240396
0.88,0.0,0.325287
0.885,0.0,0.3264996
0.89,0.0,0.327728
0.895,0.0,0.328886
0.9,0.0,0.3300828
0.905,0.0,0.3312718
0.91,0.0,0.332459
0.915,0.0,0.3336138
0.92,0.0,0.3347828
0.925,0.0,0.3359318
0.93,0.0,0.3371314
0.935,0.0,0.3382694
0.94,0.0,0.339455
0.945,0.0,0.3406048
0.95,0.0,0.341796
0.955,0.0,0.3429368
0.96,0.0,0.344057
0.965,0.0,0.3451444
0.97,0.0,0.3462744
0.975,0.0,0.3473948
0.98,0.0,0.3485266
0.985,0.0,0.3496208
0.99,0.0,0.3507492
0.995,0.0,0.3518414
1.0,0.3327396,0.3529844
1.005,0.3336862,0.3540812
1.01,0.3346142,0.3551492
1.015,0.335498,0.3562418
1.02,0.3364134,0.3573378
1.025,0.337275,0.3584312
1.03,0.3381588,0.3594754
1.035,0.33905,0.3605342
1.04,0.3398758,0.3615838
1.045,0.3407456,0.3625836
1.05,0.3416196,0.3636184
1.055,0.3424968,0.364658
1.06,0.3433342,0.3657064
1.065,0.3441348,0.3667314
1.07,0.3449822,0.3678072
1.075,0.3458446,0.368832
1.08,0.346656,0.3698548
1.085,0.347481,0.3709064
1.09,0.3482856,0.3719172
1.095,0.3490928,0.3729468
1.1,0.3498818,0.3739844
1.105,0.350675,0.3749944
1.11,0.3514676,0.375997
1.115,0.3522628,0.3770164
1.12,0.353039,0.37804
1.125,0.353848,0.3790356
1.13,0.35463,0.3800428
1.135,0.3554012,0.3810092
1.14,0.356161,0.3820216
1.145,0.3569286,0.3830292
1.15,0.3576718,0.3840338
1.155,0.3584374,0.3849678
1.16,0.3591994,0.3859764
1.165,0.359936,0.3869578
1.17,0.3606886,0.3879082
1.175,0.3614192,0.3888552
1.18,0.362126,0.389797
1.185,0.3628226,0.3907658
1.19,0.363539,0.391727
1.195,0.3642804,0.392652
1.2,0.3649988,0.3936056
1.205,0.3657228,0.39456
1.21,0.366408,0.395497
1.215,0.3671082,0.3964332
1.22,0.3678204,0.3973528
1.225,0.3684896,0.3983032
1.23,0.3691894,0.3992306
1.235,0.3698756,0.4001566
1.24,0.370535,0.4010794
1.245,0.371205,0.4019836
1.25,0.3718826,0.4028842
1.255,0.3725742,0.4038226
1.26,0.3732066,0.404729
1.265,0.3738492,0.4056408
1.27,0.3744946,0.406557
1.275,0.375142,0.4074642
1.28,0.3757696,0.408377
1.285,0.3764282,0.4092346
1.29,0.3770352,0.4101512
1.295,0.377658,0.411036
1.3,0.3782802,0.411932
1.305,0.3788784,0.4128166
1.31,0.3794694,0.4136756
1.315,0.3800884,0.4145046
1.32,0.3807114,0.4153462
1.325,0.3813128,0.4162346
1.33,0.3819118,0.417086
1.335,0.3825062,0.4179574
1.34,0.3831098,0.4188014
1.345,0.383691,0.4196734
1.35,0.3842962,0.4205432
1.355,0.3848754,0.4213762
1.36,0.3854534,0.4222272
1.365,0.3860198,0.423089
1.37,0.3865878,0.4239178
1.375,0.3871552,0.4247576
1.38,0.3876998,0.425596
