t,phase_1,phase_2
0.0,0.0,0.0
0.005,0.0,0.0027104
0.01,0.0,0.0054212
0.015,0.0,0.0081526
0.02,0.0,0.0108892
0.025,0.0,0.0135688
0.03,0.0,0.0162104
0.035,0.0,0.0188196
0.04,0.0,0.0214596
0.045,0.0,0.024068
0.05,0.0,0.0266896
0.055,0.0,0.0293052
0.06,0.0,0.0318438
0.065,0.0,0.0343564
0.07,0.0,0.0369264
0.075,0.0,0.0395018
0.08,0.0,0.0419958
0.085,0.0,0.0445564
0.09,0.0,0.0470614
0.095,0.0,0.0495952
0.1,0.0,0.052004
0.105,0.0,0.0544152
0.11,0.0,0.056816
0.115,0.0,0.0593086
0.12,0.0,0.0617262
0.125,0.0,0.0641688
0.13,0.0,0.0665752
0.135,0.0,0.0689866
0.14,0.0,0.071413
0.145,0.0,0.0738
0.15,0.0,0.076175
0.155,0.0,0.0784914
0.16,0.0,0.0808942
0.165,0.0,0.0831942
0.17,0.0,0.085473
0.175,0.0,0.0877764
0.18,0.0,0.0900384
0.185,0.0,0.0923128
0.19,0.0,0.094594
0.195,0.0,0.0967958
0.2,0.0,0.099051
0.205,0.0,0.101209
0.21,0.0,0.1034292
0.215,0.0,0.1056162
0.22,0.0,0.1078104
0.225,0.0,0.1099834
0.23,0.0,0.1121722
0.235,0.0,0.1143838
0.24,0.0,0.1165674
0.245,0.0,0.118683
0.25,0.0,0.1208224
0.255,0.0,0.1229574
0.26,0.0,0.1250856
0.265,0.0,0.1271522
0.27,0.0,0.1292438
0.275,0.0,0.1313692
0.28,0.0,0.1334148
0.285,0.0,0.135478
0.29,0.0,0.1375062
0.295,0.0,0.1395522
0.3,0.0,0.1416302
0.305,0.0,0.1436966
0.31,0.0,0.1457218
0.315,0.0,0.1477254
0.32,0.0,0.1497676
0.325,0.0,0.151779
0.33,0.0,0.1537602
0.335,0.0,0.1557252
0.34,0.0,0.1577034
0.345,0.0,0.1596488
0.35,0.0,0.1615612
0.355,0.0,0.1635056
0.36,0.0,0.165392
0.365,0.0,0.1673104
0.37,0.0,0.169236
0.375,0.0,0.1711418
0.38,0.0,0.1729862
0.385,0.0,0.1748288
0.39,0.0,0.1767144
0.395,0.0,0.1785856
0.4,0.0,0.180484
0.405,0.0,0.1823366
0.41,0.0,0.1841604
0.415,0.0,0.186034
0.42,0.0,0.1878612
0.425,0.0,0.1896742
0.43,0.0,0.1915518
0.435,0.0,0.1933444
0.44,0.0,0.1951418
0.445,0.0,0.1969308
0.45,0.0,0.1987266
0.455,0.0,0.2004786
0.46,0.0,0.2022308
0.465,0.0,0.2039516
0.47,0.0,0.2056788
0.475,0.0,0.2074018
0.48,0.0,0.2091698
0.485,0.0,0.2108416
0.49,0.0,0.2125144
0.495,0.0,0.2141952
0.5,0.0,0.2158866
0.505,0.0,0.2176106
0.51,0.0,0.2192884
0.515,0.0,0.220913
0.52,0.0,0.2225596
0.525,0.0,0.2241514
0.53,0.0,0.2258094
0.535,0.0,0.2274902
0.54,0.0,0.229162
0.545,0.0,0.230805
0.55,0.0,0.2324246
0.555,0.0,0.234052
0.56,0.0,0.2356786
0.565,0.0,0.237296
0.57,0.0,0.2388306
0.575,0.0,0.2404556
0.58,0.0,0.2420476
0.585,0.0,0.2436416
0.59,0.0,0.2452168
0.595,0.0,0.2468144
0.6,0.0,0.2482996
0.605,0.0,0.2498118
0.61,0.0,0.251336
0.615,0.0,0.2528678
0.62,0.0,0.2543738
0.625,0.0,0.255892
0.63,0.0,0.257363
0.635,0.0,0.2588788
0.64,0.0,0.2603942
0.645,0.0,0.261893
0.65,0.0,0.2633728
0.655,0.0,0.2648446
0.66,0.0,0.266317
0.665,0.0,0.2677578
0.67,0.0,0.2692168
0.675,0.0,0.2706448
0.68,0.0,0.2721422
0.685,0.0,0.2735522
0.69,0.0,0.2749454
0.695,0.0,0.2764014
0.7,0.0,0.2778598
0.705,0.0,0.2793152
0.71,0.0,0.2807136
0.715,0.0,0.2821186
0.72,0.0,0.283499
0.725,0.0,0.2848764
0.73,0.0,0.2862612
0.735,0.0,0.2876462
0.74,0.0,0.2890442
0.745,0.0,0.290438
0.75,0.0,0.2917808
0.755,0.0,0.2931004
0.76,0.0,0.2944448
0.765,0.0,0.2958006
0.77,0.0,0.297105
0.775,0.0,0.2984574
0.78,0.0,0.299777
0.785,0.0,0.3010972
0.79,0.0,0.3024216
0.795,0.0,0.3037318
0.8,0.0,0.305039
0.805,0.0,0.3063042
0.81,0.0,0.3076156
0.815,0.0,0.308941
0.82,0.0,0.3102484
0.825,0.0,0.3115346
0.83,0.0,0.3128064
0.835,0.0,0.31406
0.84,0.0,0.3153122
0.845,0.0,0.316553
0.85,0.0,0.3178018
0.855,0.0,0.3190004
0.86,0.0,0.3202382
0.865,0.0,0.3214874
0.87,0.0,0.3227064
0.875,0.0,0.3239394
0.88,0.0,0.3251638
0.885,0.0,0.3263628
0.89,0.0,0.327566
0.895,0.0,0.3287546
0.9,0.0,0.329979
0.905,0.0,0.3311844
0.91,0.0,0.3323646
0.915,0.0,0.3335188
0.92,0.0,0.3346876
0.925,0.0,0.3358746
0.93,0.0,0.3370206
0.935,0.0,0.3381692
0.94,0.0,0.3393422
0.945,0.0,0.3404834
0.95,0.0,0.3416562
0.955,0.0,0.3427842
0.96,0.0,0.343912
0.965,0.0,0.345045
0.97,0.0,0.3461902
0.975,0.0,0.3473134
0.98,0.0,0.3484138
0.985,0.0,0.3495326
0.99,0.0,0.3506662
0.995,0.0,0.3517476
1.0,0.33252,0.3528586
1.005,0.3334276,0.3539284
1.01,0.3343192,0.3550152
1.015,0.3352414,0.3560816
1.02,0.336155,0.357158
1.025,0.3370312,0.3582542
1.03,0.3379206,0.359336
1.035,0.3388018,0.3604138
1.04,0.339675,0.3614786
1.045,0.3405548,0.3625104
1.05,0.3414472,0.363578
1.055,0.3423138,0.364608
1.06,0.3431794,0.3656254
1.065,0.3439902,0.3666686
1.07,0.3448374,0.3677544
1.075,0.3456668,0.3688152
1.08,0.3464768,0.3698438
1.085,0.3473258,0.3708566
1.09,0.3481482,0.3719206
1.095,0.3489364,0.3729486
1.1,0.349704,0.3739896
1.105,0.3505256,0.3749932
1.11,0.3513286,0.376001
1.115,0.3521052,0.3770018
1.12,0.3528884,0.3780278
1.125,0.3536886,0.379049
1.13,0.354492,0.380064
