t,phase_1,phase_2
0.0,0.0,0.0
0.005,0.0,0.0027374
0.01,0.0,0.0054986
0.015,0.0,0.008232
0.02,0.0,0.0109892
0.025,0.0,0.013694
0.03,0.0,0.0163694
0.035,0.0,0.019009
0.04,0.0,0.0216478
0.045,0.0,0.0243046
0.05,0.0,0.02691
0.055,0.0,0.0295662
0.06,0.0,0.0321078
0.065,0.0,0.0346544
0.07,0.0,0.037258
0.075,0.0,0.0398844
0.08,0.0,0.0423584
0.085,0.0,0.0448842
0.09,0.0,0.0473566
0.095,0.0,0.0498194
0.1,0.0,0.0522914
0.105,0.0,0.0547082
0.11,0.0,0.057152
0.115,0.0,0.0596294
0.12,0.0,0.0620684
0.125,0.0,0.0645278
0.13,0.0,0.0669184
0.135,0.0,0.069312
0.14,0.0,0.071696
0.145,0.0,0.0740894
0.15,0.0,0.0764968
0.155,0.0,0.078817
0.16,0.0,0.08119
0.165,0.0,0.083537
0.17,0.0,0.0858368
0.175,0.0,0.0881596
0.18,0.0,0.0904404
0.185,0.0,0.0927168
0.19,0.0,0.095002
0.195,0.0,0.0972066
0.2,0.0,0.0994608
0.205,0.0,0.1016568
0.21,0.0,0.103855
0.215,0.0,0.1060622
0.22,0.0,0.108197
0.225,0.0,0.1103706
0.23,0.0,0.1125614
0.235,0.0,0.1147218
0.24,0.0,0.1169226
0.245,0.0,0.119076
0.25,0.0,0.1212502
0.255,0.0,0.1233498
0.26,0.0,0.1254726
0.265,0.0,0.12753
0.27,0.0,0.1296178
0.275,0.0,0.131771
0.28,0.0,0.1338506
0.285,0.0,0.1359258
0.29,0.0,0.137995
0.295,0.0,0.1400572
0.3,0.0,0.1421394
0.305,0.0,0.144185
0.31,0.0,0.1462076
0.315,0.0,0.1482412
0.32,0.0,0.150267
0.325,0.0,0.152215
0.33,0.0,0.1542168
0.335,0.0,0.1561988
0.34,0.0,0.1582014
0.345,0.0,0.160154
0.35,0.0,0.1620826
0.355,0.0,0.1639978
0.36,0.0,0.165882
0.365,0.0,0.1677718
0.37,0.0,0.169701
0.375,0.0,0.1715698
0.38,0.0,0.1734382
0.385,0.0,0.1752814
0.39,0.0,0.1771288
0.395,0.0,0.1790008
0.4,0.0,0.1808368
0.405,0.0,0.1827056
0.41,0.0,0.1845348
0.415,0.0,0.1863808
0.42,0.0,0.1882002
0.425,0.0,0.190012
0.43,0.0,0.1918058
0.435,0.0,0.193601
0.44,0.0,0.195402
0.445,0.0,0.1971482
0.45,0.0,0.1989106
0.455,0.0,0.200667
0.46,0.0,0.202401
0.465,0.0,0.2041556
0.47,0.0,0.2058862
0.475,0.0,0.207619
0.48,0.0,0.2093488
0.485,0.0,0.2110502
0.49,0.0,0.2127102
0.495,0.0,0.2143728
0.5,0.0,0.2160746
0.505,0.0,0.2178118
0.51,0.0,0.2194972
0.515,0.0,0.2211208
0.52,0.0,0.2227908
0.525,0.0,0.224418
0.53,0.0,0.2260912
0.535,0.0,0.227704
0.54,0.0,0.2293888
0.545,0.0,0.2310106
0.55,0.0,0.2326592
0.555,0.0,0.2342752
0.56,0.0,0.2358988
0.565,0.0,0.2375186
0.57,0.0,0.239071
0.575,0.0,0.2406568
0.58,0.0,0.242245
0.585,0.0,0.243846
0.59,0.0,0.2454026
0.595,0.0,0.246976
0.6,0.0,0.2485364
0.605,0.0,0.2500458
0.61,0.0,0.2515762
0.615,0.0,0.2531048
0.62,0.0,0.2546306
0.625,0.0,0.2561586
0.63,0.0,0.2576276
0.635,0.0,0.2591532
0.64,0.0,0.2606344
0.645,0.0,0.2621238
0.65,0.0,0.26358
0.655,0.0,0.2650576
0.66,0.0,0.2665062
0.665,0.0,0.2679548
0.67,0.0,0.2694224
0.675,0.0,0.2708326
0.68,0.0,0.2723096
0.685,0.0,0.273758
0.69,0.0,0.2751818
0.695,0.0,0.2766588
0.7,0.0,0.2780814
0.705,0.0,0.2795368
0.71,0.0,0.2809492
0.715,0.0,0.2823382
0.72,0.0,0.2837044
0.725,0.0,0.2850842
0.73,0.0,0.2864586
0.735,0.0,0.2878436
0.74,0.0,0.2892456
0.745,0.0,0.2906314
0.75,0.0,0.2919822
0.755,0.0,0.29331
0.76,0.0,0.2946608
0.765,0.0,0.2959806
0.77,0.0,0.2972954
0.775,0.0,0.298652
0.78,0.0,0.2999768
0.785,0.0,0.3013042
0.79,0.0,0.3026076
0.795,0.0,0.3039364
0.8,0.0,0.3052282
0.805,0.0,0.3064866
0.81,0.0,0.3077974
0.815,0.0,0.3090784
0.82,0.0,0.310369
0.825,0.0,0.3116206
0.83,0.0,0.3128942
0.835,0.0,0.3141264
0.84,0.0,0.3153558
0.845,0.0,0.3166108
0.85,0.0,0.3178978
0.855,0.0,0.3191114
0.86,0.0,0.3203328
0.865,0.0,0.321555
0.87,0.0,0.3227604
0.875,0.0,0.3239738
0.88,0.0,0.3251828
0.885,0.0,0.3264124
0.89,0.0,0.3276274
0.895,0.0,0.3288082
0.9,0.0,0.330013
0.905,0.0,0.3311778
0.91,0.0,0.3323534
0.915,0.0,0.3335266
0.92,0.0,0.3346792
0.925,0.0,0.3358542
0.93,0.0,0.3370088
0.935,0.0,0.3381604
0.94,0.0,0.3393148
0.945,0.0,0.3404454
0.95,0.0,0.3416156
0.955,0.0,0.3427402
0.96,0.0,0.3438678
0.965,0.0,0.344973
0.97,0.0,0.346124
0.975,0.0,0.3472396
0.98,0.0,0.3483706
0.985,0.0,0.3494578
0.99,0.0,0.3505846
0.995,0.0,0.3516904
1.0,0.3324962,0.352822
1.005,0.3334222,0.353923
1.01,0.3343266,0.355022
1.015,0.3352134,0.3561042
1.02,0.3361186,0.3571956
1.025,0.3369844,0.358276
1.03,0.3378748,0.359329
1.035,0.3387246,0.3603968
1.04,0.339612,0.3614856
1.045,0.3404668,0.3624928
1.05,0.3413464,0.3635398
1.055,0.3422176,0.364602
1.06,0.3430582,0.3656504
1.065,0.3438746,0.3666698
1.07,0.3447194,0.367751
1.075,0.34559,0.3687846
1.08,0.3464104,0.36983
1.085,0.3472644,0.370852
1.09,0.348059,0.3718972
