dg1,dg2,order13,qbdrap4
-0.24447910095049816,-0.24447910095049816,-0.24447910095049816,-0.24447910095049852
-0.22493655466445203,-0.192992028101802,-0.2507301994101848,-0.25508703069760374
-0.21929425601275218,-0.1898764850482036,-0.24745928766141642,-0.24529185829398828
-0.2147546863494385,-0.18630818930563153,-0.24460093006467484,-0.23578034440323814
-0.21817248209246382,-0.18411554616781284,-0.24198099645053242,-0.22915164261561421
-0.21242038693597579,-0.1831465009300069,-0.23960510230002285,-0.2250550222185515
-0.21563781031147636,-0.1824729609598759,-0.2374853799932291,-0.22240590595469487
-0.21572276027744056,-0.18208745884429314,-0.2356152732648078,-0.22058414943382326
-0.21121202361952815,-0.18180388699077624,-0.23397656458911525,-0.21925900745439067
-0.21445667592922465,-0.1817065324738953,-0.23254242421203838,-0.21826892192812083
-0.21438061583340373,-0.18154670525168368,-0.23128417371187135,-0.21750097054252815
