dg1,dg2,order13,qbdrap4
-0.24370882461713816,-0.24370882461713816,-0.24370882461713816,-0.24370882461713841
-0.22422014164692433,-0.1923263805616171,-0.24999675795390816,-0.2543075221170828
-0.21861303576701374,-0.1892155920264257,-0.2467419172673252,-0.24452971889207575
-0.21410150858014065,-0.18565270005649032,-0.24388614982000617,-0.2351235173693491
-0.217540500729115,-0.1834633555007992,-0.24126928890994195,-0.2283973693680904
-0.21175905354887145,-0.18249576279114837,-0.23889551294864597,-0.22429709694174313
-0.21498810102619617,-0.18182323050364607,-0.23677684554446654,-0.22165398789017876
-0.21507099215868478,-0.1814383044357088,-0.23490970755232887,-0.21983537615929327
-0.21054930864627017,-0.1811551559918091,-0.23327285139347795,-0.21852055121191094
-0.21380400595168156,-0.18105794677422635,-0.2318400222274588,-0.21753251124914447
-0.21373117034813105,-0.18089835801982548,-0.2305835198451013,-0.216766682500973
