dg,dg_limiter,order1,qbdrap
"[-2.4454651381124224, -1.9829564502214805]","[-2.4454651381124224, -1.9829564502214805]","[-2.4454651381124224, -1.9829564502214805]","[-2.132289167023089, -1.7913976228876514]"
"[-3.609767199743708, -2.698076503847229]","[-3.401832556464529, -2.6379578796611467]","[-3.147512197775185, -2.5750360369124166]","[-2.771955434713288, -2.2649489283206807]"
"[-3.852068197095375, -2.711083562164792]","[-3.551624203507057, -2.6719015669739927]","[-3.3711773862996868, -2.757840172259958]","[-3.304756298418299, -2.707694679760188]"
"[-3.853594003828254, -2.7268948224440375]","[-3.477399248095516, -2.65389149515786]","[-3.5190355427671616, -2.747828843653306]","[-3.601914413384232, -2.688452539471178]"
"[-3.862058358508109, -2.7252329932256307]","[-3.4745267665342885, -2.6521944993619577]","[-3.6014060725048727, -2.742266501588743]","[-3.7386389597067855, -2.666713361398658]"
"[-3.867795293514603, -2.7228480192235667]","[-3.484768059220161, -2.654069212614169]","[-3.6327639055819363, -2.7389585684905255]","[-3.7743010399936723, -2.6721183709732035]"
