dg,dg_limiter,order1,qbdrap
"[-1.2383748394063676, -1.088046803118415]","[-1.2383748394063676, -1.088046803118415]","[-1.2383748394063676, -1.088046803118415]","[-1.2492039722296775, -1.0728399978068048]"
"[-1.4495328133755425, -1.26007209695803]","[-1.4846141011175085, -1.2715553298057145]","[-1.3353418127237364, -1.1481114162172057]","[-1.302446046266888, -1.1375003534831145]"
"[-1.6935893398920343, -1.393923089211695]","[-1.756984259630786, -1.424853728875377]","[-1.3665685357398702, -1.175921315223467]","[-1.39533313613523, -1.1959430816722578]"
"[-1.546474372357053, -1.3000491821351914]","[-1.6285638975238648, -1.3287230068416394]","[-1.3887888758775295, -1.1925545432252744]","[-1.4432717292934594, -1.2249393815413654]"
"[-1.5484696091707728, -1.3013538002144174]","[-1.63342276208833, -1.331756856787969]","[-1.4111068782189793, -1.2070627335565316]","[-1.4739976448502072, -1.2458355751709378]"
"[-1.6012001552116817, -1.330179941956961]","[-1.7053391016076198, -1.3595700541322866]","[-1.4315248184375138, -1.2196226489608806]","[-1.4926184476512283, -1.2618718184350879]"
