dg,dg_limiter,order1,qbdrap
"[-0.7484543891239782, -0.4114939377108999]","[-0.7484543891239782, -0.4114939377108999]","[-0.7484543891239782, -0.4114939377108999]","[-0.4814966414730837, -0.3586020485365365]"
"[-1.41079608773074, -0.7389433690356738]","[-1.3343123729291457, -0.7336921100592549]","[-1.1597442511162865, -0.7397994531582457]","[-0.8209958340185951, -0.6033949327933928]"
"[-1.4700913709011847, -0.748255821301232]","[-1.4020957591444823, -0.753690318295911]","[-1.333954034956268, -0.7823927136219566]","[-1.2288372788745083, -0.7712285879943895]"
"[-1.453740834683013, -0.7434134705849721]","[-1.3373341385511268, -0.753965963712807]","[-1.3670349788855256, -0.7632360301946423]","[-1.3738495931125778, -0.744042478409324]"
"[-1.4629963664123955, -0.744116638259818]","[-1.3389704408686478, -0.7534522612261724]","[-1.3745245371984467, -0.7556791693583228]","[-1.4480738237589172, -0.7420868563345685]"
"[-1.467899632776073, -0.7454073108963319]","[-1.3454655874072956, -0.754870223046795]","[-1.3636678991883238, -0.7518614776950967]","[-1.4736991671039057, -0.7477108824448665]"
