t,φ,X,n
0.5,1,3.0223617340362785,1
0.5,2,0.20474449774881975,0
0.5,2,1.0695226224179961,1
0.5,1,0.6461070171577585,1
0.5,2,0.17019458959430334,0
0.5,3,0.0,1
0.5,2,0.3874841954116972,1
0.5,2,1.437481937956293,1
0.5,2,1.1059078604897492,1
0.5,1,0.9407419518220221,0
0.5,3,0.0,1
0.5,1,1.1131225541560419,0
0.5,1,0.3091167976941718,1
0.5,2,0.5852936325556746,0
0.5,2,1.2858914699796054,1
0.5,1,1.5219840461628602,0
0.5,1,0.647145712991389,0
0.5,1,0.5659134914545104,0
0.5,1,0.5950711512565037,0
0.5,2,0.7080547807014095,0
0.5,2,0.1434343936589818,0
0.5,2,1.3913854090411817,0
0.5,1,1.7524034355386005,0
0.5,1,1.0113189400268547,0
0.5,1,0.6817124498101026,0
0.5,2,0.6327984948873858,2
0.5,2,0.35559859895006607,0
0.5,2,1.4596584927581102,0
0.5,2,0.6183685085947657,0
0.5,2,1.2690876654177004,1
0.5,2,0.03662350448312596,1
0.5,1,2.1421290800323156,0
0.5,2,0.10346914898036375,1
0.5,2,0.01022794281317263,1
0.5,3,0.0,1
0.5,1,2.7938293304304938,1
0.5,1,1.0160984683620864,0
0.5,2,0.17329593218639894,0
0.5,2,1.4240988763549691,0
0.5,2,1.9666044798244513,1
0.5,3,0.0,1
0.5,2,0.0031180842625201377,0
0.5,2,0.16472239935182087,0
0.5,1,0.5551743411054171,0
0.5,1,0.30865785279464697,1
0.5,1,1.7353569238321214,2
0.5,2,0.5555243429819807,1
0.5,2,1.5934447680212087,1
0.5,2,0.5343647150420117,1
0.5,2,0.7588948842001688,0
0.5,3,0.0,1
0.5,3,0.0,1
0.5,1,4.722548066688964,0
0.5,1,0.7501808292179653,2
0.5,2,0.6815323991760298,0
0.5,3,0.0,2
0.5,3,0.0,2
0.5,1,3.354962647920646,0
0.5,1,4.916556805660046,0
0.5,3,0.0,1
0.5,2,3.889063510386376,1
0.5,2,1.7696835309163945,0
0.5,1,1.034352562819636,0
0.5,2,0.9952147962727581,1
