t,phase_1,phase_2
0.0,0.0,0.0
0.005,0.0014684,0.003964
0.01,0.0029094,0.0079434
0.015,0.0043954,0.0118288
0.02,0.005869,0.0156358
0.025,0.0073138,0.0194636
0.03,0.0088046,0.0232076
0.035,0.0102438,0.02697
0.04,0.0116904,0.030768
0.045,0.013146,0.034438
0.05,0.0146258,0.0381836
0.055,0.0161396,0.0418238
0.06,0.0176366,0.0454744
0.065,0.0191516,0.049058
0.07,0.0206252,0.0526728
0.075,0.022149,0.056252
0.08,0.0236102,0.0597584
0.085,0.0251508,0.063317
0.09,0.0266438,0.0668512
0.095,0.0281748,0.0703264
0.1,0.0296854,0.0737292
0.105,0.0311934,0.077111
0.11,0.0327166,0.0805204
0.115,0.0342554,0.0838552
0.12,0.03578,0.0872252
0.125,0.0373534,0.0905342
0.13,0.0388704,0.0938392
0.135,0.040449,0.0971084
0.14,0.04197,0.1004216
0.145,0.0435298,0.1036748
0.15,0.045033,0.1069408
0.155,0.0465762,0.1101214
0.16,0.048112,0.1132766
0.165,0.0496736,0.1164312
0.17,0.0511812,0.119531
0.175,0.0527242,0.1226342
0.18,0.0542696,0.125755
0.185,0.0558244,0.1288706
0.19,0.0573568,0.131943
0.195,0.0589586,0.1350212
0.2,0.0605092,0.1380398
0.205,0.0620884,0.1410346
0.21,0.0636334,0.1439776
0.215,0.065183,0.1469914
0.22,0.0667568,0.1499624
0.225,0.0683138,0.152896
0.23,0.069939,0.1557454
0.235,0.071532,0.1586024
0.24,0.073127,0.16141
0.245,0.0747424,0.164242
0.25,0.0763272,0.1671228
0.255,0.0779416,0.1699222
0.26,0.0795876,0.1726852
0.265,0.0812142,0.1754946
0.27,0.0828408,0.1782484
0.275,0.0844528,0.1809508
0.28,0.0860286,0.1836276
0.285,0.0876528,0.1863438
0.29,0.089247,0.189101
0.295,0.0908778,0.1917578
0.3,0.092496,0.1943902
0.305,0.0940792,0.1970162
0.31,0.0957122,0.1996404
0.315,0.0973632,0.202244
0.32,0.0990164,0.2048484
0.325,0.1006864,0.2074598
0.33,0.1023258,0.2100038
0.335,0.1039502,0.212585
0.34,0.1055992,0.2150942
0.345,0.1072512,0.2175626
0.35,0.1089252,0.220109
0.355,0.1105932,0.222554
0.36,0.112303,0.2250124
0.365,0.11399,0.227521
0.37,0.1156602,0.2299508
0.375,0.117318,0.2323848
0.38,0.1190326,0.2348014
0.385,0.1207242,0.2372564
0.39,0.1224074,0.2396254
0.395,0.1241018,0.2420116
0.4,0.1258478,0.2444162
0.405,0.1275154,0.2467764
0.41,0.1292138,0.2490832
0.415,0.1309186,0.251406
0.42,0.1325608,0.2536474
0.425,0.1342888,0.2560284
0.43,0.135994,0.2583176
0.435,0.1376776,0.2605314
0.44,0.1394056,0.2627656
0.445,0.141118,0.2649822
0.45,0.1428206,0.2672614
0.455,0.1445528,0.2695154
0.46,0.1463038,0.271685
0.465,0.148032,0.273872
0.47,0.1497288,0.2760706
0.475,0.1514802,0.2782562
0.48,0.1532276,0.2804528
0.485,0.1549192,0.2826484
0.49,0.1566426,0.2847606
0.495,0.15839,0.2868912
0.5,0.1601656,0.2889974
0.505,0.1619064,0.2910366
0.51,0.163655,0.293157
0.515,0.1654622,0.2952254
0.52,0.1672046,0.2972712
0.525,0.16897,0.2993452
0.53,0.1707462,0.3014292
