t,phase_1,phase_2
0.0,0.0,0.0
0.005,0.0014492,0.003943
0.01,0.0028926,0.0078892
0.015,0.0043662,0.0117702
0.02,0.0058318,0.0156352
0.025,0.0072512,0.019516
0.03,0.0087542,0.023304
0.035,0.0102116,0.0270778
0.04,0.01166,0.0308488
0.045,0.0131556,0.034501
0.05,0.014666,0.0382468
0.055,0.0161544,0.0418688
0.06,0.017656,0.0455224
0.065,0.0191634,0.04916
0.07,0.0206674,0.0527578
0.075,0.0221444,0.056403
0.08,0.023636,0.0598714
0.085,0.0251392,0.063391
0.09,0.0266134,0.066932
0.095,0.028164,0.0704552
0.1,0.0296894,0.0738562
0.105,0.0312374,0.0773202
0.11,0.0327664,0.0807672
0.115,0.0342628,0.0841052
0.12,0.0357834,0.0874564
0.125,0.0373264,0.0908284
0.13,0.0388802,0.0941272
0.135,0.0404344,0.0973966
0.14,0.0419496,0.1006772
0.145,0.0435024,0.1038392
0.15,0.0450246,0.107106
0.155,0.0465844,0.11025
0.16,0.0481234,0.11342
0.165,0.0496684,0.116605
0.17,0.0511776,0.1197476
0.175,0.0527304,0.1227952
0.18,0.054258,0.1258864
0.185,0.0557896,0.128957
0.19,0.0573118,0.1320548
0.195,0.0588986,0.1350966
0.2,0.0604548,0.13807
0.205,0.0620106,0.1410954
0.21,0.0635694,0.144086
0.215,0.0650792,0.1470356
0.22,0.066648,0.149974
0.225,0.0682486,0.1528608
0.23,0.0698334,0.1557358
0.235,0.07148,0.158609
0.24,0.0730938,0.1614978
0.245,0.07473,0.1643538
0.25,0.0763416,0.1671948
0.255,0.0779512,0.1700226
0.26,0.0795934,0.1727956
0.265,0.0812192,0.1756092
0.27,0.0828304,0.178335
0.275,0.0844374,0.1811062
0.28,0.0860182,0.183824
0.285,0.0876296,0.1865432
0.29,0.0892614,0.1892822
0.295,0.0908528,0.1919788
0.3,0.0924654,0.1946636
0.305,0.0940906,0.1973216
0.31,0.0956938,0.1999866
0.315,0.0973446,0.2025076
0.32,0.0989558,0.2051214
0.325,0.1006192,0.207793
0.33,0.1022336,0.2103428
0.335,0.1038848,0.2128754
0.34,0.105543,0.2153582
0.345,0.1072116,0.2178656
0.35,0.1088632,0.2204412
0.355,0.1105468,0.2229306
0.36,0.1122216,0.2254114
0.365,0.1138958,0.2278554
0.37,0.1155528,0.23034
0.375,0.117214,0.2327672
0.38,0.118934,0.235186
0.385,0.1206046,0.237681
0.39,0.1222642,0.2400612
0.395,0.1239502,0.242382
0.4,0.1256732,0.2448024
0.405,0.1273678,0.2471566
0.41,0.1291132,0.2494964
0.415,0.1308236,0.251812
0.42,0.1324826,0.2540932
0.425,0.1341634,0.2564734
0.43,0.1358456,0.2587982
0.435,0.1375438,0.261024
0.44,0.1392558,0.2632478
0.445,0.1408994,0.2654754
0.45,0.1425696,0.2677204
0.455,0.1443252,0.2699052
0.46,0.1460848,0.2721144
0.465,0.1478134,0.2742988
0.47,0.1495208,0.2764708
0.475,0.1512364,0.2786832
0.48,0.1529534,0.280866
0.485,0.1546636,0.2829952
0.49,0.1563832,0.2851254
0.495,0.1581242,0.2872298
0.5,0.1598926,0.2893394
0.505,0.161621,0.291409
0.51,0.1633678,0.2934746
0.515,0.1651304,0.2955836
0.52,0.166877,0.2976614
0.525,0.168607,0.2997286
0.53,0.1703714,0.3018076
0.535,0.1721376,0.303818
0.54,0.1739028,0.3058526
0.545,0.1756868,0.3078674
0.55,0.1774622,0.3098566
0.555,0.179246,0.311826
0.56,0.181032,0.3138282
0.565,0.1828178,0.3157962
0.57,0.184594,0.3177582
0.575,0.1863586,0.319684
0.58,0.1882226,0.3215798
0.585,0.1900072,0.3235134
0.59,0.1918568,0.325413
0.595,0.1936708,0.327328
0.6,0.1954888,0.329171
0.605,0.1973062,0.331053
0.61,0.199087,0.332968
0.615,0.2009154,0.334899
0.62,0.2027392,0.3367458
0.625,0.2045714,0.3386004
0.63,0.2063708,0.3404424
0.635,0.2081872,0.3423244
0.64,0.209978,0.3441202
0.645,0.2118262,0.3458976
0.65,0.2136784,0.3477646
0.655,0.215475,0.3495416
0.66,0.2173084,0.3512898
0.665,0.2191628,0.3530636
0.67,0.2210286,0.354802
0.675,0.2229226,0.3565726
0.68,0.2248178,0.3582972
0.685,0.2266838,0.3600324
0.69,0.2286086,0.3617352
0.695,0.2305398,0.36344
0.7,0.2323692,0.3651566
0.705,0.234206,0.3668444
0.71,0.2360788,0.3685198
0.715,0.2380004,0.3702246
0.72,0.2398762,0.3719066
0.725,0.2417864,0.3735506
0.73,0.2436398,0.3752196
0.735,0.2456122,0.376897
0.74,0.2475092,0.3785706
0.745,0.24943,0.3802334
0.75,0.251311,0.3818698
0.755,0.2532156,0.3835018
0.76,0.255143,0.385143
0.765,0.2571082,0.3867786
0.77,0.2590468,0.388455
0.775,0.2609778,0.3900746
0.78,0.2628882,0.3916454
0.785,0.2648226,0.3931862
0.79,0.2667636,0.3947526
0.795,0.2687292,0.396307
0.8,0.2706862,0.3978848
0.805,0.2725994,0.3994658
0.81,0.2745194,0.400997
0.815,0.2764684,0.4025336
0.82,0.278408,0.4040462
0.825,0.2803382,0.4056042
0.83,0.2823126,0.4071294
0.835,0.284275,0.4086904
0.84,0.2862652,0.410203
0.845,0.2882578,0.4117142
0.85,0.290221,0.413243
0.855,0.2921762,0.4147386
0.86,0.2941596,0.41622
0.865,0.2961722,0.4177032
0.87,0.2981326,0.4191404
0.875,0.3002122,0.4206846
0.88,0.3022454,0.4221472
0.885,0.304245,0.423587
0.89,0.3062632,0.4250912
0.895,0.3082372,0.4265406
0.9,0.3102542,0.4280012
0.905,0.312279,0.4294468
0.91,0.314286,0.4309126
0.915,0.3163194,0.4323516
0.92,0.318302,0.433773
0.925,0.3203334,0.4351836
0.93,0.322402,0.4365884
