DG,Unif,DG_limiter,QBDRAP
-2.3563444001483047,-2.3563444001483047,-2.3563444001483047,-2.3735583071953816
-3.3817468011669707,-2.639671699367716,-2.6309035937924548,-2.7921520645953577
-3.678878403393543,-2.775091062370426,-2.6310491881874847,-3.022266561714719
-3.8531202162964173,-2.8640347887605655,-2.6321349269893686,-3.184012689963055
-3.976591930276604,-2.9294196402012536,-2.631183541992326,-3.3098738204288334
-4.072491037325469,-2.9817006431614437,-2.631854172322521,-3.4099962802210433
-4.151358250191686,-3.024687087893366,-2.6325992419110515,-3.491974340830012
-4.218119833545027,-3.060892210239465,-2.6314510909858386,-3.5614375544636285
-4.276196711262079,-3.0928763911910244,-2.6316586501964503,-3.6218080810142985
-4.327375109839671,-3.120928829223849,-2.63261519823955,-3.6751895407867305
-4.373321881719176,-3.146101547586326,-2.6331929239107126,-3.723002875962527
