DG,Unif,DG_limiter,QBDRAP
-0.8870701316761868,-0.8870701316761868,-0.8870701316761868,-0.9000839306748065
-2.5070623194055863,-1.2402641773571075,-1.3377443218331369,-1.365404526485185
-2.925684812048831,-1.413770630060899,-1.3289860683989627,-1.6765119331468725
-3.120060109320757,-1.5314724855208182,-1.3214968055500327,-1.9048497702961775
-3.2171857730925186,-1.620949798279575,-1.3272398578734597,-2.0853020882924156
-3.273931709471664,-1.6932381815815483,-1.319536329675818,-2.233719480106163
-3.308611640897863,-1.7539146714355904,-1.319941753940054,-2.3582133603500863
-3.3313964553096582,-1.8062015984400681,-1.3245974022004485,-2.46407868587777
-3.3471943312704986,-1.8521432765239836,-1.3253014730060975,-2.5551275600477377
-3.3583299841976757,-1.8931123955994327,-1.3272039584449888,-2.63416400569428
-3.366651804297366,-1.9300698623386732,-1.3182426068276052,-2.703292117062817
