DG,Unif,DG_limiter,QBDRAP
-0.9316374261906778,-0.9316374261906778,-0.9316374261906778,-0.9450829593872623
-1.8031333974335781,-1.173538305215004,-1.1417507751747984,-1.2899640875870848
-2.055764568825682,-1.2952170195898478,-1.1414933309807935,-1.5050241903372896
-2.2238940599193997,-1.3771915880180232,-1.1421179529756877,-1.6697099864635967
-2.3326291506154697,-1.4386435371426003,-1.1417795633834475,-1.7888627715422865
-2.4219505532023966,-1.4878977868785486,-1.1439487119877492,-1.8855111328279925
-2.4925120003435,-1.5289029196884858,-1.1426877495085148,-1.967977755530607
-2.5524512558691934,-1.5637610519586789,-1.1415195387050219,-2.0357870967786393
-2.606233880111794,-1.5946214457762928,-1.1384132145143453,-2.092707590683224
-2.6506530133004436,-1.6218163400135275,-1.1421529060673001,-2.143335414487239
-2.692517098603982,-1.6462727336575267,-1.1426413639375554,-2.188822588383597
